"query","normalized_query","intent_type","topic_cluster","target_page","current_impressions","current_clicks","current_ctr","average_position","current_title","current_visible_answer","current_anchor","mismatch","proposed_heading","proposed_answer_requirement","evidence_source_required","overclaim_risk","priority","confidence","effort","measurement_plan"
"word usage over time","word usage over time","research discovery","site / word studies","/","14","unknown","unknown","unknown","Words Over Time: Word Meaning, History, and Usage","The visible home copy names semantic change, word frequency, search statistics, design research, and infographic art; it does not give a concise source-and-coverage explanation of what a visitor can study.","#home-title (at page end)","Diagnosis blocked: the screenshot has no query-page pairing or position, so low ranking and CTR at a competitive position cannot be separated. Intent broadly matches, but the explanatory H1 is visually late and the first screen is primarily a word list.","How Words Over Time studies word usage","State that this is a source-led collection of historical frequency, attestation, form variation, context, and interpretive visual studies; link to /words and /about without promising complete language coverage.","src/app/page.tsx; src/lib/site.ts; docs/research/README.md","Medium: avoid implying corpus frequency equals all usage or semantic proof.","P1","high","low","Hypothesis: a first-screen server-rendered project explanation and crawlable /words link will improve qualified discovery and post-click orientation for this query. Release-annotate, then compare exact query × page impressions, clicks, CTR, and average position at 28 and 56 days against matched prior windows, segmented by device; interpret CTR only within comparable position bands."
"origin of the word privacy","origin of the word privacy","etymology / origin","privacy / origin","/words/privacy","unknown","unknown","unknown","unknown","Privacy Etymology and Meaning Over Time | Words Over Time","The current page shows an older field of private life, secrecy, and related forms, but does not state what can and cannot be claimed about the noun's origin.","#chart-1-semantic-weather (no #etymology)","Demand and ranking are unknown. The intended answer is present only indirectly, and source confidence is not surfaced.","Where does the word privacy come from?","Use the same canonical #etymology section; distinguish privacy from older privy/private evidence and show uncertain or blocked sources rather than selecting an unsupported first date.","docs/research/privacy/processed/privacy_etymology_early_usage_processed.json; privacy_etymology_early_usage_data_report.md","High: root-family evidence is not direct proof of the noun's first use.","P1","high","low","Hypothesis: a clearly bounded origin subsection will capture qualified long-tail impressions and improve citation potential. Establish query × page baseline and compare 28/56-day metrics with position controls."
"history of privacy meaning","history of privacy meaning","semantic history","privacy / historical meaning","/words/privacy","unknown","unknown","unknown","unknown","Privacy Etymology and Meaning Over Time | Words Over Time","The page visibly follows private life and secrecy through legal rights, data systems, geography, and governance from 1200-2026.","#chart-1-semantic-weather","Intent is well represented, but the first-screen summary does not link the historical stages to stable subsection anchors; demand and ranking are unknown.","How did privacy's meaning change before modern rights?","Summarize the pre-rights semantic field, then link forward to legal and data-system transitions; identify source layers and avoid presenting curated track scores as lexical definitions.","privacy_pre_modern_semantic_weather.json; docs/research/privacy/reports/privacy_pre_modern_semantic_weather_data_report.md; privacy_timeline_source_index_processed.json","High: visual track scores are interpretive and do not prove a single linear meaning shift.","P1","high","medium","Hypothesis: a server-rendered historical-stage answer with stable anchors will improve semantic-history relevance and mobile comprehension. Capture baseline and compare exact query × page at 28/56 days plus anchor engagement."
"privacy legal meaning","privacy legal meaning","legal semantic history","privacy / legal meaning","/words/privacy","unknown","unknown","unknown","unknown","Privacy Etymology and Meaning Over Time | Words Over Time","Visible copy says that after 1890 privacy becomes a legal object involving publicity, likeness, intrusion, injury, and eventually rights language.","#chart-1-semantic-weather (legal subsection has no own id)","The answer is evidence-aligned but nested under a broad anchor. Ranking and demand are unknown; this is an anchor and jurisdiction-boundary gap rather than proven snippet weakness.","How did privacy become a legal claim?","Summarize the project's post-1890 legal-injury evidence, name jurisdiction/source boundaries, and avoid presenting one universal legal definition.","src/data/generated/privacy_legal_injury_matrix.json; docs/research/privacy/reports/privacy_legal_injury_matrix_data_report.md","High: legal meanings vary by jurisdiction and time; this is not legal advice.","P1","high","low","Hypothesis: a dedicated #legal-and-data-meaning subsection will improve qualified impressions and post-click usefulness. Compare exact query × page metrics at 28/56 days by country/device/position when export is available."
"privacy and data protection","privacy and data protection","concept relationship","privacy / data protection","/words/privacy","unknown","unknown","unknown","unknown","Privacy Etymology and Meaning Over Time | Words Over Time","Visible copy says that after 1950 privacy branches into private life, rights, data protection, platform interfaces, surveillance, breach risk, identity, consent, and AI-sensitive data.","#chart-1-semantic-weather (modern-transit subsection has no own id)","The relationship is visible but not directly answered or separately addressable. Demand and position are unknown.","How are privacy and data protection connected?","Describe the historical transition and co-occurring vocabulary in this dataset; separate lexical development from jurisdiction-specific legal definitions and causal claims.","src/data/generated/privacy_modern_transit_system.json; docs/research/privacy/reports/privacy_modern_transit_system_data_report.md; privacy_timeline_source_index_processed.json","High: co-occurrence and curated routes do not establish equivalence or causation.","P1","high","low","Hypothesis: a direct source-bounded #legal-and-data-meaning answer will improve qualified relevance and mobile usefulness. Establish baseline and compare query × page at 28/56 days, segmented by country/device/position."
"privacy and surveillance history","privacy and surveillance history","semantic relationship","privacy / surveillance","/words/privacy","unknown","unknown","unknown","unknown","Privacy Etymology and Meaning Over Time | Words Over Time","Surveillance pressure is named in the hero and modern transit/governance layers, but no concise historical relationship answer is visible.","#chart-3-governance-interface (broad)","The route is topically aligned, but a reader must infer the relationship from interactive/visual layers; demand and ranking are unknown.","How does surveillance reshape privacy vocabulary?","Use dated recovered records and source counts to describe association and sequencing; state that the visual connections are curated and do not prove that surveillance caused a lexical shift.","privacy_research_expansion_processed.json; privacy_modern_transit_system_processed.json; privacy_timeline_source_index_processed.json","High: avoid causal, universal, or policy-effect claims from semantic grouping.","P2","medium","medium","Hypothesis: a caveated governance subsection could improve long-tail relevance and citation potential. First validate demand with a GSC export; if implemented, compare exact query × page at 28/56 days and review source-link/copy-link use."
"artificial","artificial","broad lexical / ambiguous","artificial / broad meaning","/words/artificial","31","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","The hero says artificial moves from skilled making to synthetic matter, reproduced experience, suspicion, and the human boundary; it is a historical research framing, not a generic dictionary answer.","none for direct answer; closest #chart-1-semantic-chamber","Diagnosis blocked: query clicks, query-page pairing, and position are unknown. The one-word query is highly ambiguous, so ranking versus intent mismatch cannot be inferred; the page should state its research scope immediately.","What does artificial mean in this study?","Give a source-bounded overview of the art/skill/making, not-natural, made/synthetic, and later machine-era layers; explicitly state that the page is not a universal dictionary definition.","round_06_final_safe_claims.md; round_04_safe_claims.md; chart_01_evidence_table.csv","High: broad-query users may expect a generic definition; do not collapse artificial into fake.","P0","high","low","Hypothesis: an explicit research-scope answer will improve qualified clicks and reduce post-click mismatch, without targeting a generic definition claim. Baseline is 31 impressions; compare exact query × page at 28/56 days by position/device and monitor return-to-SERP only if privacy-respecting first-party measurement exists."
"artificial meaning","artificial meaning","definition / research interpretation","artificial / meaning","/words/artificial","15","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","The hero and entry note provide a semantic arc, but no concise answer separates observed meanings from a dictionary definition.","none for direct answer; closest #chart-1-semantic-chamber","Diagnosis blocked: no query clicks or position. The title is related but not exact; verified risk is broad-definition intent mismatch.","What does artificial mean in this study?","Use the safe-claims boundary: artificial does not simply mean fake; summarize supported making, not-natural, substitution, synthetic, and human-boundary layers without an exhaustive definition claim.","round_06_final_safe_claims.md; round_04_safe_claims.md; chart_01_definition_timeline.json","High: avoid generic-definition overreach and exact sense-order claims.","P0","high","low","Hypothesis: a concise bounded answer will improve qualified CTR at comparable positions and mobile usefulness. Baseline is 15 impressions; compare exact query × page at 28/56 days with position and device controls."
"original meaning of artificial","original meaning of artificial","etymology / earliest sense","artificial / original meaning","/words/artificial","unknown","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","The first figure is titled Artificial before fake and the hero begins with skilled making, but no precise first-screen answer states the evidence limit around original meaning.","#chart-1-semantic-chamber","Demand and ranking are unknown. The topic is present, but exact earliest sense order remains restricted by the research notes.","What did artificial originally mean?","Use only safe wording: artificial has pre-1828 art, skill, making, and technical/rule evidence; do not claim an exact earliest sense or that fake was original.","round_06_final_safe_claims.md; pre_1828_evidence_table.csv; round_05_safe_pre_1828_claims.md","High: exact origin and earliest-sense order are explicitly not supported.","P1","high","low","Hypothesis: surfacing the safe claim under #original-meaning will improve qualified long-tail discovery and citations. Establish exact query × page baseline, then compare 28/56-day metrics and cited/copy-link use."
"artificial etymology","artificial etymology","etymology","artificial / etymology","/words/artificial","unknown","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","The page connects artificial with artifice, skill, and making, but does not offer a compact etymology answer with source-status caveats.","#chart-1-semantic-chamber","The title strongly aligns; demand and ranking are unknown. Verified gap is answer extraction and source qualification.","What is the etymology of artificial?","Summarize the supported word-family relationship and pre-1828 evidence without exact earliest-date or sense-order claims; link to the first evidence section.","chart_01_evidence_table.csv; chart_01_definition_timeline.json; round_06_final_safe_claims.md","High: avoid converting word-family evidence into a definitive origin chronology.","P1","high","low","Hypothesis: a source-qualified #original-meaning answer will improve etymology relevance and citation potential. Capture baseline and compare exact query × page impressions/clicks/CTR/position at 28/56 days."
"artificial and artifice","artificial and artifice","word-family relationship","artificial / artifice","/words/artificial","unknown","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","The page frames an artifice-to-AI scope and a strong art/skill/making layer, but the relationship between artificial and artifice is not answered directly.","#chart-1-semantic-chamber","Intent is represented visually; answer placement and stable sub-anchor are missing. Demand and ranking are unknown.","How are artificial and artifice related?","Explain the supported word-family and semantic relationship while preserving artifice's making/skill and possible-deception branches; do not define artifice as deception only.","round_04_safe_claims.md; chart_01_term_family.csv; chart_01_evidence_table.csv","High: artifice has multiple evidence-backed senses and cannot be flattened.","P1","high","low","Hypothesis: a direct word-family answer will improve qualified long-tail impressions and section citation. Establish baseline, then compare exact query × page at 28/56 days by position/device."
"created by artificial means","created by artificial means","phrase interpretation","artificial / created by artificial means","/words/artificial","15","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","The page shows made, substitute, synthetic, mechanical-reproduction, and suspicion layers, but does not directly interpret this phrase.","#chart-1-semantic-chamber or #chart-3-mechanical-reproduction","Diagnosis blocked: position and clicks are unknown. Query intent may be generic phrase interpretation, while the page is a historical study; an answer must remain evidence-scoped.","What does created by artificial means mean in this evidence?","Explain that the page's evidence distinguishes skilled/made construction, substitution, and not-natural or synthetic contexts; do not offer a context-free dictionary paraphrase or equate the phrase with fake.","chart_01_evidence_table.csv; chart_02_evidence_clusters.csv; chart_03_term_inventory.csv; round_04_safe_claims.md","High: the phrase is context-dependent and not synonymous with fake.","P1","high","low","Hypothesis: a bounded phrase answer will improve qualified clicks for the 15-impression query while filtering generic-definition mismatch. Compare exact query × page at 28/56 days by position/device and review downstream section engagement."
"artificial meaning before AI","artificial meaning before ai","semantic history","artificial / before AI","/words/artificial","unknown","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","The first four figures explicitly cover artifice, technical construction, manufactured perception, mechanical reproduction, and suspicion before the later human/AI boundary.","#chart-1-semantic-chamber","Content alignment is strong, but the historical pre-AI synthesis is not presented as one direct answer; demand and ranking are unknown.","What did artificial mean before AI?","Summarize pre-AI layers from dated evidence and safe claims, preserving distinctions among made, not-natural, substitute, synthetic, and fake-adjacent uses.","chart_01_evidence_table.csv; chart_03_term_inventory.csv; chart_04 evidence hardening files; round_06_final_safe_claims.md","High: avoid a single linear progression or claiming AI replaced earlier meanings.","P1","high","medium","Hypothesis: an evidence-bounded pre-AI synthesis will improve semantic-history relevance and sharing. Establish baseline and compare exact query × page at 28/56 days plus section-link copies."
"artificial intelligence word history","artificial intelligence word history","compound history","artificial / AI-era history","/words/artificial","unknown","unknown","unknown","unknown","Artificial Etymology: Artifice to AI | Words Over Time","Artificial intelligence appears as one later top-layer anchor; project notes explicitly say Chart 05 is not an AI chart.","#chart-5-artificial-human-boundary","The current page gives useful boundary context but not a researched chronology of the compound artificial intelligence. Demand and ranking are unknown.","How does artificial enter intelligence vocabulary?","State only that artificial intelligence is one later cognition/process anchor in this study; do not claim a first coinage or comprehensive AI term history without additional primary compound-history evidence.","chart_05_ai_boundary_notes.md; chart_05_evidence_table.csv; artificial_term_metadata.csv","High: current frequency metadata contains noisy early phrase hits and cannot establish coinage or sense.","P2","high","medium","Hypothesis: a clearly limited AI-boundary answer may improve qualified relevance without overclaiming a compound history. Validate query demand first; if implemented, compare exact query × page at 28/56 days and audit whether new impressions remain on the canonical page."
"hub etymology","hub etymology","etymology","hub / origin","/words/hub","15","unknown","unknown","unknown","Hub Etymology: From Wheel Center to Network | Words Over Time","The hero says hub's center moved from the wheel to systems, while evidence notes identify the wheel center as earliest supported sense; the ultimate origin uncertainty is not summarized at the top.","none; HubSection emits no ids","Diagnosis blocked: no query clicks or position. Title match is strong; verified gaps are no stable origin anchor and no direct statement that etymology is uncertain.","Where does hub come from?","State that public sources agree on the wheel-center sense but the ultimate origin is uncertain or probably related to hob/hubbe; separate claimed 1640s, supported 1828, and direct corpus 1908 evidence levels.","docs/research/hub/reports/hub_etymology_attestation_report.md; hub_etymology_summary.json; hub_earliest_attestations.json","High: dictionary claims, directly supported records, and corpus snippets must not be conflated.","P1","high","low","Hypothesis: a visible uncertainty-led #origin answer will improve qualified clicks and citation potential. Baseline is 15 impressions; compare exact query × /words/hub at 28/56 days by position/device, and track copies of the origin section link."
"origin of the word hub","origin of the word hub","etymology / origin","hub / origin","/words/hub","unknown","unknown","unknown","unknown","Hub Etymology: From Wheel Center to Network | Words Over Time","The page describes wheel-to-system movement but does not directly explain the uncertain ultimate origin.","none","Demand and ranking are unknown. The answer exists in a research report, not as visible server-rendered page text.","Where does hub come from?","Reuse #origin; present the competing unknown-origin and probable hob relation as attributed theories, not a settled derivation.","hub_etymology_attestation_report.md; hub_etymology_summary.json","High: the report explicitly marks etymology status uncertain.","P1","high","low","Hypothesis: an attributed origin answer will earn qualified long-tail impressions and citations. Establish query × page baseline, then compare 28/56-day metrics with position controls."
"original meaning of hub","original meaning of hub","earliest supported sense","hub / wheel centre","/words/hub","unknown","unknown","unknown","unknown","Hub Etymology: From Wheel Center to Network | Words Over Time","The hero names wheel center first and the first chart says the wheel sense remains present, but evidence levels are not condensed into a direct answer.","none","Intent alignment is strong; the missing stable anchor and claimed-versus-supported distinction limit answer clarity. Demand and ranking are unknown.","What was hub's earliest supported sense?","Identify the mechanical wheel-center sense and explicitly distinguish earliest claimed, earliest directly supported, and earliest direct corpus dates.","hub_etymology_attestation_report.md; hub_earliest_attestations.json; hub_attestation_confidence_matrix.json","High: do not label the earliest claimed year as verified first use.","P1","high","low","Hypothesis: a date-qualified #wheel-to-network answer will improve post-click usefulness and citation potential. Establish baseline; compare exact query × page at 28/56 days and source-link/copy-link use."
"hub transportation meaning","hub transportation meaning","domain semantic history","hub / transport node","/words/hub","unknown","unknown","unknown","unknown","Hub Etymology: From Wheel Center to Network | Words Over Time","The hero lists transfer point, and Chart 02 follows transport/logistics terms into the hub-and-spoke model.","none; Chart 02 has no id","The primary meaning is visible but not directly addressable; the report also records conflicting claimed and directly supported dates. Demand and ranking are unknown.","How did hub become a transport term?","Summarize only directly supported transit, railway, transportation, and hub-and-spoke evidence; label early Ngram signals unverified and preserve date confidence.","hub_etymology_attestation_report.md; hub_chart02_hardened_evidence.json; hub_chart02_routing_data_report.md","High: early Ngram visibility is not attestation and current records require review.","P1","high","medium","Hypothesis: an anchored transport summary will improve qualified impressions and mobile comprehension. Capture baseline and compare exact query × page at 28/56 days by position/device."
"hub network metaphor","hub network metaphor","metaphorical extension","hub / network","/words/hub","unknown","unknown","unknown","unknown","Hub Etymology: From Wheel Center to Network | Words Over Time","The hero lists network node, and Chart 02 shows communication/network extensions from routing language.","none; Chart 02 has no id","Intent is represented, but current research marks the transport-to-network shift uncertain and lacking strong direct early attestations. Demand and ranking are unknown.","How did hub become a network metaphor?","Explain the retained central-node logic using supported communication/computing phrases; explicitly state that the transfer chronology is interpretive and early direct attestations remain incomplete.","hub_etymology_attestation_report.md; hub_chart02_transfer_model_evidence.json; hub_chart02_model_confidence_matrix.json","High: do not claim a verified transition date or a complete metaphor genealogy.","P2","high","medium","Hypothesis: a transparent evidence-gap answer could improve citation quality more than rankings. Validate GSC demand; if implemented, compare query × page at 28/56 days and monitor source/copy-link actions."
"datum meaning","datum meaning","lexical meaning","data / datum","/words/data","unknown","unknown","unknown","unknown","Data Etymology: Datum, Meaning, and Usage | Words Over Time","The page says data begins as something given and Chart 03 traces datum as a singular item toward data as plural and mass usage.","#chart-3-datum-route","The route is aligned, but the short answer is not isolated from the chart narrative. Demand and ranking are unknown.","What does datum mean in this evidence?","Use ev_datum_root to state the source-paraphrased given-basis sense, with its 1646 date and caveat that attestation is not commonness.","src/data/generated/data_evidence.json: ev_datum_root; data_sources.json: src_mw_datum; data_datum_route.json","Medium: a historical lexical paraphrase is not an exhaustive modern definition.","P1","high","low","Hypothesis: a direct evidence-linked #datum answer will improve qualified long-tail relevance and mobile usefulness. Establish query × page baseline, then compare 28/56-day metrics by position/device."
"data vs datum","data vs datum","form / grammar comparison","data / datum","/words/data","unknown","unknown","unknown","unknown","Data Etymology: Datum, Meaning, and Usage | Words Over Time","Chart 03 follows datum as singular item, data as plural form, and the expansion from data are to data is.","#chart-3-datum-route","Content alignment is strong, but no short visible comparison precedes the visualization. Demand and ranking are unknown.","What is the relationship between data and datum?","Describe the project's grammatical route and dual usage evidence; link datum/data records and state that this is observed usage, not a universal rule change.","data_datum_route.json; data_grammar_usage.json; data_evidence.json: ev_datum_root and ev_data_root","High: avoid a prescriptive all-context rule or treating frequency as grammatical authority.","P1","high","low","Hypothesis: a concise comparison at the existing anchor will improve qualified impressions and post-click usefulness. Establish baseline and compare exact query × page at 28/56 days by position/device."
