source_name,source_type,access_status,source_url,terms_checked,result,notes
OED,historical_dictionary,not_accessible,https://www.oed.com/,artificial,Not accessed in this pass.,Needed for final earliest-sense chronology.
"Project Gutenberg - Henry VI, Part 3",book_snippet,accessed,https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,artificial tears,Pre-1800 feigned-emotion lead carried forward from Chart 1 gap check.,Use snippet cautiously and verify edition if quoted.
Project Gutenberg - Wollstonecraft,book_snippet,accessed,https://www.gutenberg.org/ebooks/67466.html.images,artificial manners,Found strong 1787 conduct-literature context for artificial manners and affectation.,Public-domain source.
Project Gutenberg - Chambers,book_snippet,accessed,https://www.gutenberg.org/cache/epub/39803/pg39803-images.html,artificial manner; artificial style/stile; affectation,Found 1773 aesthetic/gardening uses tied to art/nature and affectation.,Ambiguous for Chart 4 pejoration; keep as context only.
Chronicling America,newspaper_snippet; advertising_snippet,accessed,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,no artificial flavoring; artificially colored,Found two historical newspaper/ad leads.,OCR/page image should be checked before quotation.
21 CFR 101.22,regulatory_source,accessed,https://ecfr.io/Title-21/Section-101.22,artificial flavor; artificial color; natural flavor; chemical preservative; artificially flavored,"Defines artificial flavor/flavoring, natural flavor/flavoring, artificial color/coloring, and labeling conditions for flavors, colors, and preservatives.",Regulation explains labeling categories; it does not measure sentiment or consumer interpretation.
FDA letter to food industry on no artificial colors labeling claims,regulatory_source,accessed,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims,no artificial colors; no artificial color; made without artificial food colors,FDA states enforcement discretion for certain voluntary absence claims when foods contain no FD&C Act certified colors.,Regulatory policy source; not consumer sentiment proof.
FDA Color Additives in Foods,regulatory_source,accessed,https://www.fda.gov/food/color-additives-information-consumers/color-additives-foods,artificial colors; synthetic; color additives; artificial coloring,Consumer-facing FDA page explains certified and exempt color additives and gives historical background on artificial coloring.,Contains health/safety/regulatory framing; do not turn into Chart 4 health claims.
FDA Types of Food Ingredients,regulatory_source,accessed,https://www.fda.gov/food/food-additives-and-gras-ingredients-information-consumers/types-food-ingredients,artificial flavor; artificial colors; flavors; preservatives; ingredients,"FDA consumer page lists examples of ingredient categories and notes label declarations such as natural flavoring, artificial flavor, and artificial colors.",Not evidence of pejoration.
FDA tracking food industry pledges to remove petroleum based food dyes,regulatory_source,accessed,https://www.fda.gov/food/color-additives-information-consumers/tracking-food-industry-pledges-remove-petroleum-based-food-dyes,remove artificial dyes; artificial colors; synthetic dyes; no artificial flavors or dyes,FDA tracks industry pledges to remove petroleum-based certified colors and includes brand-level reformulation language.,Policy and pledge tracking source; not a balanced usage corpus.
PepsiCo / Gatorade,web_snippet,accessed,https://www.pepsico.com/en/newsroom/press-releases/2026/gatorade-lower-sugar-brings-a-new-era-of-hydration-with-no-artificial-flavors-sweeteners-or-colors,no artificial flavors; no artificial sweeteners; no artificial colors,Found 2026 launch/marketing absence claim.,Brand source.
Campbell's / Swanson product pages,web_snippet,accessed,https://www.campbells.com/swanson/products/broth/50-less-sodium-beef-broth/,no artificial ingredients; no artificial flavors; no artificial colors; no preservatives,Found current product-page absence claims.,Product pages may change.
Consumer Reports Natural label guide,secondary_literature,accessed,https://www.consumerreports.org/food-labels/seals-and-claims/natural,natural; artificial ingredients,Found consumer-expectation context around natural and no artificial ingredients.,"Use as consumer-label context, not corpus frequency."
IFT Food Technology clean-label article,secondary_literature,accessed,https://www.ift.org/food-technology-magazine/ingredients-clean-label,clean label; not artificial or synthetic; preservatives; additives,Found clean-label context.,Secondary/trade source.
OED,historical_dictionary,not_accessible,https://www.oed.com/,artificial; artificiality; artifice,Not accessed in this pass.,Still a major manual review item.
"Ash, Sheridan, Walker dictionaries",historical_dictionary,search_only,,artificial,No stable entry extracts captured in this pass.,Need manual scan/page work if they become important.
