id,term_or_phrase,primary_layer,function_mode,source_period,year_or_period,source_name,source_type,source_url,evidence_kind,confidence,short_summary,chart05_relevance,current_relevance,speculative_status,notes
E011,artificial insemination,4,continuation,modern_reference,MeSH current,"NCBI MeSH: Insemination, Artificial",medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68007315,definition,high,Defines artificial insemination as artificial introduction of semen or spermatozoa to facilitate fertilization.,high,modern_established,established_term,Core Layer 4 continuation anchor; intervention in reproduction rather than support/replacement.
E012,in vitro fertilization,4,continuation,modern_reference,MeSH introduced 1979,NCBI MeSH: Fertilization in Vitro,medical_dictionary,https://www.ncbi.nlm.nih.gov/mesh/68005307,definition,high,Defines IVF as assisted reproduction involving direct handling and manipulation of oocytes and sperm to achieve fertilization in vitro.,high,modern_established,established_term,Strong continuation/reproduction anchor and successor to artificial fertilization language.
E013,artificial womb,4,continuation,2000_2019,2017,Nature Communications: extra-uterine lamb support system,scientific_article,https://www.nature.com/articles/ncomms15794,scientific_anchor,medium,Nature Communications record for the 2017 extra-uterine system work on extreme premature lamb support; useful as artificial womb technology anchor.,medium,modern_emerging,emerging_term,"Use carefully: animal/preclinical support, not human gestation replacement."
E014,artificial womb,4,continuation,2019_2026,2026,PubMed: Artificial Womb Technology systematic review,medical_review,https://pubmed.ncbi.nlm.nih.gov/41664724/,review_signal,high,2026 systematic review treats artificial womb technology as preclinical fetal support and notes no human trials yet.,high,modern_emerging,speculative_term,Critical source for controlling speculative status.
E015,artificial life,5,simulation,modern_reference,recognized discipline in the 1980s; 1987 conference,Britannica: Artificial life,encyclopedia,https://www.britannica.com/technology/artificial-life,definition,high,"Defines artificial life as computer simulation of life used to study living systems, with recognized field status in the 1980s.",high,modern_established,established_term,Bridge node from life continuation to computational life-process simulation; do not collapse with reproduction terms.
E016,artificial language,5,simulation,historical,1887 Esperanto anchor,Britannica: Esperanto,encyclopedia,https://www.britannica.com/topic/Esperanto,historical_anchor,high,Britannica describes Esperanto as an artificial language constructed in 1887 for international second-language use.,high,historical,established_term,Important non-AI cognition/process anchor: artificial enters human symbolic process before modern AI.
E017,artificial language,5,simulation,modern_reference,dictionary current,Merriam-Webster: artificial language,dictionary,https://www.merriam-webster.com/dictionary/artificial%20language,definition,high,"Defines artificial language as a devised language for international or specific purposes, not native speech.",medium,modern_established,established_term,Useful boundary source for language/process layer.
E018,artificial intelligence,5,simulation,modern_reference,AI article current; 1950s history,Britannica: Artificial intelligence,encyclopedia,https://www.britannica.com/technology/artificial-intelligence,definition,high,Defines AI as computer/robot ability to perform tasks associated with human intellectual processes such as reasoning.,high,modern_established,established_term,"Top-layer anchor, but not chart center."
E019,artificial neural network,5,simulation,modern_reference,theoretical basis 1943; first simple network 1954,Britannica: neural network,encyclopedia,https://www.britannica.com/technology/neural-network,definition,high,"Defines artificial neural networks as computer programs inspired by brain networks, with early theoretical and implementation history.",high,modern_established,established_term,Cognitive/process modeling node; good bridge from body/organ metaphors to mind process.
E020,artificial voice,5,simulation,2019_2026,2024,FCC Declaratory Ruling FCC-24-17,regulatory_source,https://docs.fcc.gov/public/attachments/FCC-24-17A1.pdf,policy_signal,high,FCC confirms TCPA restrictions on artificial or prerecorded voice encompass current AI technologies that generate human voices.,high,modern_emerging,policy_sensitive,"Strong modern voice/presence anchor; policy source, not historical origin."
E021,artificial companion,5,speculative_extension,2019_2026,2023,International Journal of Social Robotics: Artificial companions review,academic_review,https://link.springer.com/article/10.1007/s12369-023-01031-y,review_signal,medium,Systematic review treats artificial companions as adaptive and engaging systems oriented toward emotional bonds and long-term relationships.,medium,modern_emerging,emerging_term,"Edge node only; useful for presence layer, not center."
E022,AI companion,5,speculative_extension,2019_2026,2024,PubMed: Digital loneliness and AI companions,academic_article,https://pubmed.ncbi.nlm.nih.gov/38504806/,modern_context,medium,2024 article frames AI companions in relation to social recognition and digital loneliness.,low,modern_emerging,emerging_term,Use as context only; high risk of making chart too topical.
E023,artificial consciousness,5,speculative_extension,modern_reference,2008,PubMed: Artificial consciousness discipline obstacles,academic_article,https://pubmed.ncbi.nlm.nih.gov/18762409/,speculative_boundary,medium,Article explicitly describes artificial consciousness as far from an established discipline and facing theoretical and technological obstacles.,low,speculative,philosophical_term,Should be dotted/edge/notes-only unless later evidence justifies display.
E024,artificial general intelligence,5,speculative_extension,modern_reference,2026 Britannica current,Britannica: Is artificial general intelligence possible?,encyclopedia,https://www.britannica.com/technology/artificial-intelligence/Is-artificial-general-intelligence-AGI-possible,speculative_boundary,high,Britannica frames AGI/strong AI as controversial and out of reach.,low,speculative,hype_sensitive,AI boundary-control source; likely hover-only or notes-only.
E025,artificial general intelligence,5,speculative_extension,modern_reference,Merriam-Webster current; first known use 1989,Merriam-Webster: artificial general intelligence,dictionary,https://www.merriam-webster.com/dictionary/artificial%20general%20intelligence,definition,medium,Dictionary definition treats AGI as potential capability; first known use listed as 1989.,low,speculative,hype_sensitive,Useful if the term appears as a dotted edge.
E026,artificial,0,mixed,modern_reference,dictionary current,Merriam-Webster: artificial,dictionary,https://www.merriam-webster.com/dictionary/artificial,definition_family,high,"Includes artificial limb, artificial respiration, artificial insemination, artificial nutrition and broader made/not-natural senses.",medium,modern_established,established_term,Useful source for why medical/body continuations are part of artificial's definition family.
