year,term,value,query_group,source,corpus,smoothing,case_sensitive
1852,artificial,0.000020963981626209716,core_term,Google Books Ngram Viewer,en,0,false
1853,artificial,0.000020601368646566698,core_term,Google Books Ngram Viewer,en,0,false
1854,artificial,0.000019970009248027054,core_term,Google Books Ngram Viewer,en,0,false
1855,artificial,0.000021078377699268458,core_term,Google Books Ngram Viewer,en,0,false
1856,artificial,0.000020069425659130502,core_term,Google Books Ngram Viewer,en,0,false
1857,artificial,0.000022811321287008468,core_term,Google Books Ngram Viewer,en,0,false
1858,artificial,0.00002103810891185276,core_term,Google Books Ngram Viewer,en,0,false
1859,artificial,0.00002040562253569078,core_term,Google Books Ngram Viewer,en,0,false
1860,artificial,0.000019798864855147258,core_term,Google Books Ngram Viewer,en,0,false
1861,artificial,0.000021241670538074686,core_term,Google Books Ngram Viewer,en,0,false
1862,artificial,0.00002361280451168568,core_term,Google Books Ngram Viewer,en,0,false
1863,artificial,0.000022476897015621944,core_term,Google Books Ngram Viewer,en,0,false
1864,artificial,0.000020353758827695856,core_term,Google Books Ngram Viewer,en,0,false
1865,artificial,0.00002033444661719841,core_term,Google Books Ngram Viewer,en,0,false
1866,artificial,0.000020641304104174196,core_term,Google Books Ngram Viewer,en,0,false
1867,artificial,0.000021776739572487713,core_term,Google Books Ngram Viewer,en,0,false
1868,artificial,0.0000200931144149763,core_term,Google Books Ngram Viewer,en,0,false
1869,artificial,0.000020948571088086343,core_term,Google Books Ngram Viewer,en,0,false
1870,artificial,0.00001992911256820662,core_term,Google Books Ngram Viewer,en,0,false
1871,artificial,0.000020174382939330826,core_term,Google Books Ngram Viewer,en,0,false
1872,artificial,0.00002146413503512079,core_term,Google Books Ngram Viewer,en,0,false
1873,artificial,0.00002122229629034078,core_term,Google Books Ngram Viewer,en,0,false
1874,artificial,0.00002148618165165317,core_term,Google Books Ngram Viewer,en,0,false
1875,artificial,0.00002095490403969391,core_term,Google Books Ngram Viewer,en,0,false
1876,artificial,0.000021831883657341677,core_term,Google Books Ngram Viewer,en,0,false
1877,artificial,0.000020682513991232554,core_term,Google Books Ngram Viewer,en,0,false
1878,artificial,0.000020826947888963332,core_term,Google Books Ngram Viewer,en,0,false
1879,artificial,0.00002100650203828991,core_term,Google Books Ngram Viewer,en,0,false
1880,artificial,0.000021502606841750094,core_term,Google Books Ngram Viewer,en,0,false
1881,artificial,0.000019645135058143914,core_term,Google Books Ngram Viewer,en,0,false
1882,artificial,0.000020075967530036598,core_term,Google Books Ngram Viewer,en,0,false
1883,artificial,0.000022291778286637198,core_term,Google Books Ngram Viewer,en,0,false
1884,artificial,0.00002152438360494835,core_term,Google Books Ngram Viewer,en,0,false
1885,artificial,0.00002072694742666359,core_term,Google Books Ngram Viewer,en,0,false
1886,artificial,0.000020609712180430506,core_term,Google Books Ngram Viewer,en,0,false
1887,artificial,0.000019549812981231596,core_term,Google Books Ngram Viewer,en,0,false
1888,artificial,0.000020155056282611383,core_term,Google Books Ngram Viewer,en,0,false
1889,artificial,0.00002083843304490074,core_term,Google Books Ngram Viewer,en,0,false
1890,artificial,0.000021034818058707216,core_term,Google Books Ngram Viewer,en,0,false
1891,artificial,0.00002061113752915844,core_term,Google Books Ngram Viewer,en,0,false
1892,artificial,0.000020513079334705253,core_term,Google Books Ngram Viewer,en,0,false
1893,artificial,0.000021136748046046705,core_term,Google Books Ngram Viewer,en,0,false
1894,artificial,0.000019702074723682017,core_term,Google Books Ngram Viewer,en,0,false
1895,artificial,0.000019840013237626408,core_term,Google Books Ngram Viewer,en,0,false
1896,artificial,0.000018916906489363505,core_term,Google Books Ngram Viewer,en,0,false
1897,artificial,0.00001928981205416569,core_term,Google Books Ngram Viewer,en,0,false
1898,artificial,0.000019193265188732767,core_term,Google Books Ngram Viewer,en,0,false
1899,artificial,0.000019058621886142157,core_term,Google Books Ngram Viewer,en,0,false
1900,artificial,0.00001904864607049639,core_term,Google Books Ngram Viewer,en,0,false
1901,artificial,0.00001869717838845486,core_term,Google Books Ngram Viewer,en,0,false
1902,artificial,0.000020563369957926625,core_term,Google Books Ngram Viewer,en,0,false
1903,artificial,0.00001921022936335337,core_term,Google Books Ngram Viewer,en,0,false
1904,artificial,0.000019929103473495524,core_term,Google Books Ngram Viewer,en,0,false
1905,artificial,0.000020392478234043665,core_term,Google Books Ngram Viewer,en,0,false
1906,artificial,0.000019893038163666665,core_term,Google Books Ngram Viewer,en,0,false
1907,artificial,0.00002095289474825235,core_term,Google Books Ngram Viewer,en,0,false
1908,artificial,0.000021648852396083385,core_term,Google Books Ngram Viewer,en,0,false
1909,artificial,0.000020596206760849223,core_term,Google Books Ngram Viewer,en,0,false
1910,artificial,0.000021759341962024337,core_term,Google Books Ngram Viewer,en,0,false
1911,artificial,0.000022428306450085478,core_term,Google Books Ngram Viewer,en,0,false
1912,artificial,0.00002155013517041171,core_term,Google Books Ngram Viewer,en,0,false
1913,artificial,0.000022182165375396468,core_term,Google Books Ngram Viewer,en,0,false
1914,artificial,0.000020584802820113046,core_term,Google Books Ngram Viewer,en,0,false
1915,artificial,0.00002000267477342277,core_term,Google Books Ngram Viewer,en,0,false
1916,artificial,0.00002003292229346698,core_term,Google Books Ngram Viewer,en,0,false
1917,artificial,0.00002096350728219426,core_term,Google Books Ngram Viewer,en,0,false
1918,artificial,0.000021668587919521087,core_term,Google Books Ngram Viewer,en,0,false
1919,artificial,0.000020932716264632223,core_term,Google Books Ngram Viewer,en,0,false
1920,artificial,0.000022277435052231453,core_term,Google Books Ngram Viewer,en,0,false
1921,artificial,0.000023007389154727775,core_term,Google Books Ngram Viewer,en,0,false
1922,artificial,0.000023074767109047822,core_term,Google Books Ngram Viewer,en,0,false
1923,artificial,0.000023820206259031473,core_term,Google Books Ngram Viewer,en,0,false
1924,artificial,0.000024116033935484005,core_term,Google Books Ngram Viewer,en,0,false
1925,artificial,0.000025414768322976067,core_term,Google Books Ngram Viewer,en,0,false
1926,artificial,0.00002498851256251683,core_term,Google Books Ngram Viewer,en,0,false
1927,artificial,0.00002445149006292252,core_term,Google Books Ngram Viewer,en,0,false
1928,artificial,0.000025028427103279682,core_term,Google Books Ngram Viewer,en,0,false
1929,artificial,0.00002587142388152386,core_term,Google Books Ngram Viewer,en,0,false
1930,artificial,0.000023909157183817087,core_term,Google Books Ngram Viewer,en,0,false
1931,artificial,0.000022833540885516812,core_term,Google Books Ngram Viewer,en,0,false
1932,artificial,0.00002410051848181216,core_term,Google Books Ngram Viewer,en,0,false
1933,artificial,0.00002334743339815759,core_term,Google Books Ngram Viewer,en,0,false
1934,artificial,0.00002316676028613074,core_term,Google Books Ngram Viewer,en,0,false
1935,artificial,0.000021597108627702255,core_term,Google Books Ngram Viewer,en,0,false
1936,artificial,0.000019785151972172288,core_term,Google Books Ngram Viewer,en,0,false
1937,artificial,0.00002222827282594153,core_term,Google Books Ngram Viewer,en,0,false
1938,artificial,0.00002132349289120372,core_term,Google Books Ngram Viewer,en,0,false
1939,artificial,0.00002073708259331397,core_term,Google Books Ngram Viewer,en,0,false
1940,artificial,0.000019012508555182883,core_term,Google Books Ngram Viewer,en,0,false
1941,artificial,0.000017660752496109766,core_term,Google Books Ngram Viewer,en,0,false
1942,artificial,0.000017237038846484865,core_term,Google Books Ngram Viewer,en,0,false
1943,artificial,0.000017370041803133063,core_term,Google Books Ngram Viewer,en,0,false
1944,artificial,0.00001959208458644779,core_term,Google Books Ngram Viewer,en,0,false
1945,artificial,0.000018897745680701572,core_term,Google Books Ngram Viewer,en,0,false
1946,artificial,0.00001898842600073225,core_term,Google Books Ngram Viewer,en,0,false
1947,artificial,0.000018683768447366744,core_term,Google Books Ngram Viewer,en,0,false
1948,artificial,0.000018977807542341907,core_term,Google Books Ngram Viewer,en,0,false
1949,artificial,0.00001902868736837482,core_term,Google Books Ngram Viewer,en,0,false
1950,artificial,0.00001910945132976849,core_term,Google Books Ngram Viewer,en,0,false
1951,artificial,0.000018415838986665656,core_term,Google Books Ngram Viewer,en,0,false
1952,artificial,0.000018368290795933717,core_term,Google Books Ngram Viewer,en,0,false
1953,artificial,0.00001805296049435523,core_term,Google Books Ngram Viewer,en,0,false
1954,artificial,0.000017828728478060107,core_term,Google Books Ngram Viewer,en,0,false
1955,artificial,0.000017056630502318426,core_term,Google Books Ngram Viewer,en,0,false
1956,artificial,0.00001700624015675556,core_term,Google Books Ngram Viewer,en,0,false
1957,artificial,0.000017217438154110143,core_term,Google Books Ngram Viewer,en,0,false
1958,artificial,0.00001882825810595179,core_term,Google Books Ngram Viewer,en,0,false
1959,artificial,0.000018591528089473286,core_term,Google Books Ngram Viewer,en,0,false
1960,artificial,0.000018565139737886094,core_term,Google Books Ngram Viewer,en,0,false
1961,artificial,0.00001780849869281037,core_term,Google Books Ngram Viewer,en,0,false
1962,artificial,0.00001900837015710033,core_term,Google Books Ngram Viewer,en,0,false
1963,artificial,0.000019087170763876227,core_term,Google Books Ngram Viewer,en,0,false
1964,artificial,0.000019193241153334095,core_term,Google Books Ngram Viewer,en,0,false
1965,artificial,0.000020391911000644525,core_term,Google Books Ngram Viewer,en,0,false
1966,artificial,0.00001945396712367542,core_term,Google Books Ngram Viewer,en,0,false
1967,artificial,0.000018951695186203432,core_term,Google Books Ngram Viewer,en,0,false
1968,artificial,0.000018946989178966755,core_term,Google Books Ngram Viewer,en,0,false
1969,artificial,0.000019301935410116766,core_term,Google Books Ngram Viewer,en,0,false
1970,artificial,0.00001828804690228586,core_term,Google Books Ngram Viewer,en,0,false
1971,artificial,0.000018261107201288096,core_term,Google Books Ngram Viewer,en,0,false
1972,artificial,0.000018618357345755177,core_term,Google Books Ngram Viewer,en,0,false
1973,artificial,0.000018748400634649443,core_term,Google Books Ngram Viewer,en,0,false
1974,artificial,0.00001806965055331164,core_term,Google Books Ngram Viewer,en,0,false
1975,artificial,0.000018149668304899558,core_term,Google Books Ngram Viewer,en,0,false
1976,artificial,0.000017485161261106275,core_term,Google Books Ngram Viewer,en,0,false
1977,artificial,0.000017963210325433465,core_term,Google Books Ngram Viewer,en,0,false
1978,artificial,0.000016836234400796624,core_term,Google Books Ngram Viewer,en,0,false
1979,artificial,0.000016117324922036713,core_term,Google Books Ngram Viewer,en,0,false
1980,artificial,0.00001633197288594679,core_term,Google Books Ngram Viewer,en,0,false
1981,artificial,0.000016109611477292674,core_term,Google Books Ngram Viewer,en,0,false
1982,artificial,0.000017083520565661092,core_term,Google Books Ngram Viewer,en,0,false
1983,artificial,0.00001653684213534512,core_term,Google Books Ngram Viewer,en,0,false
1984,artificial,0.00001779693138814764,core_term,Google Books Ngram Viewer,en,0,false
1985,artificial,0.00001999298866512539,core_term,Google Books Ngram Viewer,en,0,false
1986,artificial,0.000020580261635962105,core_term,Google Books Ngram Viewer,en,0,false
1987,artificial,0.000020766050531237368,core_term,Google Books Ngram Viewer,en,0,false
1988,artificial,0.00002040606182457036,core_term,Google Books Ngram Viewer,en,0,false
1989,artificial,0.000020864931341457726,core_term,Google Books Ngram Viewer,en,0,false
1990,artificial,0.00002058411366316626,core_term,Google Books Ngram Viewer,en,0,false
1991,artificial,0.000020064199258124082,core_term,Google Books Ngram Viewer,en,0,false
1992,artificial,0.000019105739817393275,core_term,Google Books Ngram Viewer,en,0,false
1993,artificial,0.00001837482651280073,core_term,Google Books Ngram Viewer,en,0,false
1994,artificial,0.000018512963934787935,core_term,Google Books Ngram Viewer,en,0,false
1995,artificial,0.000018716517184894088,core_term,Google Books Ngram Viewer,en,0,false
1996,artificial,0.000017058536530424606,core_term,Google Books Ngram Viewer,en,0,false
1997,artificial,0.000016721787882024303,core_term,Google Books Ngram Viewer,en,0,false
1998,artificial,0.00001650077843808051,core_term,Google Books Ngram Viewer,en,0,false
1999,artificial,0.00001579573097302764,core_term,Google Books Ngram Viewer,en,0,false
2000,artificial,0.0000154622413847047,core_term,Google Books Ngram Viewer,en,0,false
2001,artificial,0.000015157394189529994,core_term,Google Books Ngram Viewer,en,0,false
2002,artificial,0.000015239676050118889,core_term,Google Books Ngram Viewer,en,0,false
2003,artificial,0.00001656090660026588,core_term,Google Books Ngram Viewer,en,0,false
2004,artificial,0.00001601773927652206,core_term,Google Books Ngram Viewer,en,0,false
2005,artificial,0.00001559473993649474,core_term,Google Books Ngram Viewer,en,0,false
2006,artificial,0.000015995281208824874,core_term,Google Books Ngram Viewer,en,0,false
2007,artificial,0.00001585982294814714,core_term,Google Books Ngram Viewer,en,0,false
2008,artificial,0.00001630538995969072,core_term,Google Books Ngram Viewer,en,0,false
2009,artificial,0.000016130809791667367,core_term,Google Books Ngram Viewer,en,0,false
2010,artificial,0.000015701085775993856,core_term,Google Books Ngram Viewer,en,0,false
2011,artificial,0.000016168411081075862,core_term,Google Books Ngram Viewer,en,0,false
2012,artificial,0.00001944940986607635,core_term,Google Books Ngram Viewer,en,0,false
2013,artificial,0.0000185151111559978,core_term,Google Books Ngram Viewer,en,0,false
2014,artificial,0.000015857487091507083,core_term,Google Books Ngram Viewer,en,0,false
2015,artificial,0.000015060236288354234,core_term,Google Books Ngram Viewer,en,0,false
2016,artificial,0.000016387634699306652,core_term,Google Books Ngram Viewer,en,0,false
2017,artificial,0.000016054698189188477,core_term,Google Books Ngram Viewer,en,0,false
2018,artificial,0.000019657487520655104,core_term,Google Books Ngram Viewer,en,0,false
2019,artificial,0.000020799102985968876,core_term,Google Books Ngram Viewer,en,0,false
1800,artificially,0.0000012793843615632738,core_term,Google Books Ngram Viewer,en,0,false
1801,artificially,0.0000012011375929432688,core_term,Google Books Ngram Viewer,en,0,false
1802,artificially,0.0000015671345314771656,core_term,Google Books Ngram Viewer,en,0,false
1803,artificially,9.320047062999492e-7,core_term,Google Books Ngram Viewer,en,0,false
1804,artificially,0.0000013317474727436718,core_term,Google Books Ngram Viewer,en,0,false
1805,artificially,0.0000011912500390565128,core_term,Google Books Ngram Viewer,en,0,false
1806,artificially,0.000001346727917184154,core_term,Google Books Ngram Viewer,en,0,false
1807,artificially,0.0000018858094906759604,core_term,Google Books Ngram Viewer,en,0,false
1808,artificially,0.000001219712358002667,core_term,Google Books Ngram Viewer,en,0,false
1809,artificially,0.0000012754748173193775,core_term,Google Books Ngram Viewer,en,0,false
1810,artificially,0.0000016872077259755258,core_term,Google Books Ngram Viewer,en,0,false
1811,artificially,0.0000010891428701143013,core_term,Google Books Ngram Viewer,en,0,false
1812,artificially,9.847091497761085e-7,core_term,Google Books Ngram Viewer,en,0,false
1813,artificially,0.000001347057169365229,core_term,Google Books Ngram Viewer,en,0,false
1814,artificially,9.545322108284182e-7,core_term,Google Books Ngram Viewer,en,0,false
1815,artificially,0.0000013056628365148981,core_term,Google Books Ngram Viewer,en,0,false
1816,artificially,0.0000012229232813076862,core_term,Google Books Ngram Viewer,en,0,false
1817,artificially,0.000001347524797523647,core_term,Google Books Ngram Viewer,en,0,false
1818,artificially,0.0000012199352212860504,core_term,Google Books Ngram Viewer,en,0,false
1819,artificially,0.0000018046600391841139,core_term,Google Books Ngram Viewer,en,0,false
1820,artificially,0.0000011171638027995812,core_term,Google Books Ngram Viewer,en,0,false
1821,artificially,0.0000013180715532357112,core_term,Google Books Ngram Viewer,en,0,false
1822,artificially,0.0000015846445036160617,core_term,Google Books Ngram Viewer,en,0,false
1823,artificially,0.0000013865118075884197,core_term,Google Books Ngram Viewer,en,0,false
1824,artificially,0.0000011495731655486452,core_term,Google Books Ngram Viewer,en,0,false
1825,artificially,0.0000012662026040999308,core_term,Google Books Ngram Viewer,en,0,false
1826,artificially,0.000001341461579595915,core_term,Google Books Ngram Viewer,en,0,false
1827,artificially,0.0000013929033340076558,core_term,Google Books Ngram Viewer,en,0,false
1828,artificially,0.0000014457317449867446,core_term,Google Books Ngram Viewer,en,0,false
1829,artificially,0.000001638278861459952,core_term,Google Books Ngram Viewer,en,0,false
1830,artificially,0.0000014629390721054847,core_term,Google Books Ngram Viewer,en,0,false
1831,artificially,0.0000012442874091078693,core_term,Google Books Ngram Viewer,en,0,false
1832,artificially,0.0000013874794131396584,core_term,Google Books Ngram Viewer,en,0,false
1833,artificially,0.0000015763443332872384,core_term,Google Books Ngram Viewer,en,0,false
1834,artificially,0.0000015359719447438636,core_term,Google Books Ngram Viewer,en,0,false
1835,artificially,0.0000015201089285099556,core_term,Google Books Ngram Viewer,en,0,false
1836,artificially,0.0000014341974798881552,core_term,Google Books Ngram Viewer,en,0,false
1837,artificially,0.0000016176430466252611,core_term,Google Books Ngram Viewer,en,0,false
1838,artificially,0.0000014326127075747763,core_term,Google Books Ngram Viewer,en,0,false
1839,artificially,0.0000017241799699085902,core_term,Google Books Ngram Viewer,en,0,false
1840,artificially,0.0000017593775614166418,core_term,Google Books Ngram Viewer,en,0,false
1841,artificially,0.0000016967054379257718,core_term,Google Books Ngram Viewer,en,0,false
1842,artificially,0.0000020508456701762157,core_term,Google Books Ngram Viewer,en,0,false
1843,artificially,0.0000018986791405772863,core_term,Google Books Ngram Viewer,en,0,false
1844,artificially,0.0000017368560456532123,core_term,Google Books Ngram Viewer,en,0,false
1845,artificially,0.0000018496401477108293,core_term,Google Books Ngram Viewer,en,0,false
1846,artificially,0.0000017477550677824638,core_term,Google Books Ngram Viewer,en,0,false
1847,artificially,0.0000017601895598851058,core_term,Google Books Ngram Viewer,en,0,false
1848,artificially,0.0000020633859647567476,core_term,Google Books Ngram Viewer,en,0,false
1849,artificially,0.000001803889519091939,core_term,Google Books Ngram Viewer,en,0,false
1850,artificially,0.0000019603909713339362,core_term,Google Books Ngram Viewer,en,0,false
1851,artificially,0.000002272996270313854,core_term,Google Books Ngram Viewer,en,0,false
1852,artificially,0.000002183756410367721,core_term,Google Books Ngram Viewer,en,0,false
1853,artificially,0.000001936695517512632,core_term,Google Books Ngram Viewer,en,0,false
1854,artificially,0.0000018701301711665508,core_term,Google Books Ngram Viewer,en,0,false
1855,artificially,0.0000020355441596731083,core_term,Google Books Ngram Viewer,en,0,false
1856,artificially,0.000001922113791685831,core_term,Google Books Ngram Viewer,en,0,false
1857,artificially,0.0000019800844641704174,core_term,Google Books Ngram Viewer,en,0,false
1858,artificially,0.000002154368624829317,core_term,Google Books Ngram Viewer,en,0,false
1859,artificially,0.0000018956456977470282,core_term,Google Books Ngram Viewer,en,0,false
1860,artificially,0.0000018980783925703903,core_term,Google Books Ngram Viewer,en,0,false
1861,artificially,0.000002307941190160534,core_term,Google Books Ngram Viewer,en,0,false
1862,artificially,0.000002181566730818929,core_term,Google Books Ngram Viewer,en,0,false
1863,artificially,0.000002214672434330822,core_term,Google Books Ngram Viewer,en,0,false
1864,artificially,0.0000020269499185765483,core_term,Google Books Ngram Viewer,en,0,false
1865,artificially,0.000002224625916369405,core_term,Google Books Ngram Viewer,en,0,false
1866,artificially,0.000002170105787513421,core_term,Google Books Ngram Viewer,en,0,false
1867,artificially,0.0000021646985182144363,core_term,Google Books Ngram Viewer,en,0,false
1868,artificially,0.000002235921785942452,core_term,Google Books Ngram Viewer,en,0,false
1869,artificially,0.000002299321703702617,core_term,Google Books Ngram Viewer,en,0,false
1870,artificially,0.0000021640342584561267,core_term,Google Books Ngram Viewer,en,0,false
1871,artificially,0.0000022424995822500904,core_term,Google Books Ngram Viewer,en,0,false
1872,artificially,0.000002233618882740984,core_term,Google Books Ngram Viewer,en,0,false
1873,artificially,0.0000023786837939354655,core_term,Google Books Ngram Viewer,en,0,false
1874,artificially,0.000002428931736631057,core_term,Google Books Ngram Viewer,en,0,false
1875,artificially,0.0000023776396353980545,core_term,Google Books Ngram Viewer,en,0,false
1876,artificially,0.0000023989012474245897,core_term,Google Books Ngram Viewer,en,0,false
1877,artificially,0.0000023509857822734403,core_term,Google Books Ngram Viewer,en,0,false
1878,artificially,0.0000024207543960486078,core_term,Google Books Ngram Viewer,en,0,false
1879,artificially,0.0000023816270324772404,core_term,Google Books Ngram Viewer,en,0,false
1880,artificially,0.0000027630151322455276,core_term,Google Books Ngram Viewer,en,0,false
1881,artificially,0.0000024170180603633185,core_term,Google Books Ngram Viewer,en,0,false
1882,artificially,0.000002518672379103748,core_term,Google Books Ngram Viewer,en,0,false
1883,artificially,0.000002661487678246033,core_term,Google Books Ngram Viewer,en,0,false
1884,artificially,0.000002700941799105294,core_term,Google Books Ngram Viewer,en,0,false
1885,artificially,0.000002634461947259581,core_term,Google Books Ngram Viewer,en,0,false
1886,artificially,0.0000025296977379518637,core_term,Google Books Ngram Viewer,en,0,false
1887,artificially,0.000002342345625017117,core_term,Google Books Ngram Viewer,en,0,false
1888,artificially,0.0000024863449681333805,core_term,Google Books Ngram Viewer,en,0,false
1889,artificially,0.0000023974895344558433,core_term,Google Books Ngram Viewer,en,0,false
1890,artificially,0.000002576851078295306,core_term,Google Books Ngram Viewer,en,0,false
1891,artificially,0.0000024411854111505704,core_term,Google Books Ngram Viewer,en,0,false
1892,artificially,0.000002545473209103477,core_term,Google Books Ngram Viewer,en,0,false
1893,artificially,0.000002552399631206015,core_term,Google Books Ngram Viewer,en,0,false
1894,artificially,0.0000025155455718461894,core_term,Google Books Ngram Viewer,en,0,false
1895,artificially,0.000002637940611283085,core_term,Google Books Ngram Viewer,en,0,false
1896,artificially,0.000002298318559468271,core_term,Google Books Ngram Viewer,en,0,false
1897,artificially,0.0000024341366966496025,core_term,Google Books Ngram Viewer,en,0,false
1898,artificially,0.000002616229480167931,core_term,Google Books Ngram Viewer,en,0,false
1899,artificially,0.0000023695870803308594,core_term,Google Books Ngram Viewer,en,0,false
1900,artificially,0.0000022958977403675362,core_term,Google Books Ngram Viewer,en,0,false
1901,artificially,0.0000023902832566591314,core_term,Google Books Ngram Viewer,en,0,false
1902,artificially,0.000002478447870046807,core_term,Google Books Ngram Viewer,en,0,false
1903,artificially,0.0000022700667727804102,core_term,Google Books Ngram Viewer,en,0,false
1904,artificially,0.0000024397144811061366,core_term,Google Books Ngram Viewer,en,0,false
1905,artificially,0.000002459504056417927,core_term,Google Books Ngram Viewer,en,0,false
1906,artificially,0.0000023941487876655287,core_term,Google Books Ngram Viewer,en,0,false
1907,artificially,0.000002513886354194028,core_term,Google Books Ngram Viewer,en,0,false
1908,artificially,0.0000025638867349186967,core_term,Google Books Ngram Viewer,en,0,false
1909,artificially,0.0000024579488169251817,core_term,Google Books Ngram Viewer,en,0,false
1910,artificially,0.000002966628311895647,core_term,Google Books Ngram Viewer,en,0,false
1911,artificially,0.0000029131114676061998,core_term,Google Books Ngram Viewer,en,0,false
1912,artificially,0.0000028449151763254577,core_term,Google Books Ngram Viewer,en,0,false
1913,artificially,0.000002730698049902003,core_term,Google Books Ngram Viewer,en,0,false
1914,artificially,0.000002545717526558633,core_term,Google Books Ngram Viewer,en,0,false
1915,artificially,0.0000023509110196329175,core_term,Google Books Ngram Viewer,en,0,false
1916,artificially,0.0000023337167176507023,core_term,Google Books Ngram Viewer,en,0,false
1917,artificially,0.0000023558869184370224,core_term,Google Books Ngram Viewer,en,0,false
1918,artificially,0.0000022289292518351544,core_term,Google Books Ngram Viewer,en,0,false
1919,artificially,0.000002229917619445132,core_term,Google Books Ngram Viewer,en,0,false
1920,artificially,0.0000023938732631734183,core_term,Google Books Ngram Viewer,en,0,false
1921,artificially,0.00000254597839521864,core_term,Google Books Ngram Viewer,en,0,false
1922,artificially,0.0000025248673161115676,core_term,Google Books Ngram Viewer,en,0,false
1923,artificially,0.000002745760030009592,core_term,Google Books Ngram Viewer,en,0,false
1924,artificially,0.0000026384387705746803,core_term,Google Books Ngram Viewer,en,0,false
1925,artificially,0.000002738144765146444,core_term,Google Books Ngram Viewer,en,0,false
