year,term,value,source,corpus,smoothing,case_sensitive
2000,artificial,0.0000154622413847047,Google Books Ngram Viewer,en,0,false
2001,artificial,0.000015157394189529994,Google Books Ngram Viewer,en,0,false
2002,artificial,0.000015239676050118889,Google Books Ngram Viewer,en,0,false
2003,artificial,0.00001656090660026588,Google Books Ngram Viewer,en,0,false
2004,artificial,0.00001601773927652206,Google Books Ngram Viewer,en,0,false
2005,artificial,0.00001559473993649474,Google Books Ngram Viewer,en,0,false
2006,artificial,0.000015995281208824874,Google Books Ngram Viewer,en,0,false
2007,artificial,0.00001585982294814714,Google Books Ngram Viewer,en,0,false
2008,artificial,0.00001630538995969072,Google Books Ngram Viewer,en,0,false
2009,artificial,0.000016130809791667367,Google Books Ngram Viewer,en,0,false
2010,artificial,0.000015701085775993856,Google Books Ngram Viewer,en,0,false
2011,artificial,0.000016168411081075862,Google Books Ngram Viewer,en,0,false
2012,artificial,0.00001944940986607635,Google Books Ngram Viewer,en,0,false
2013,artificial,0.0000185151111559978,Google Books Ngram Viewer,en,0,false
2014,artificial,0.000015857487091507083,Google Books Ngram Viewer,en,0,false
2015,artificial,0.000015060236288354234,Google Books Ngram Viewer,en,0,false
2016,artificial,0.000016387634699306652,Google Books Ngram Viewer,en,0,false
2017,artificial,0.000016054698189188477,Google Books Ngram Viewer,en,0,false
2018,artificial,0.000019657487520655104,Google Books Ngram Viewer,en,0,false
2019,artificial,0.000020799102985968876,Google Books Ngram Viewer,en,0,false
1800,artificially,0.0000012793843615632738,Google Books Ngram Viewer,en,0,false
1801,artificially,0.0000012011375929432688,Google Books Ngram Viewer,en,0,false
1802,artificially,0.0000015671345314771656,Google Books Ngram Viewer,en,0,false
1803,artificially,9.320047062999492e-7,Google Books Ngram Viewer,en,0,false
1804,artificially,0.0000013317474727436718,Google Books Ngram Viewer,en,0,false
1805,artificially,0.0000011912500390565128,Google Books Ngram Viewer,en,0,false
1806,artificially,0.000001346727917184154,Google Books Ngram Viewer,en,0,false
1807,artificially,0.0000018858094906759604,Google Books Ngram Viewer,en,0,false
1808,artificially,0.000001219712358002667,Google Books Ngram Viewer,en,0,false
1809,artificially,0.0000012754748173193775,Google Books Ngram Viewer,en,0,false
1810,artificially,0.0000016872077259755258,Google Books Ngram Viewer,en,0,false
1811,artificially,0.0000010891428701143013,Google Books Ngram Viewer,en,0,false
1812,artificially,9.847091497761085e-7,Google Books Ngram Viewer,en,0,false
1813,artificially,0.000001347057169365229,Google Books Ngram Viewer,en,0,false
1814,artificially,9.545322108284182e-7,Google Books Ngram Viewer,en,0,false
1815,artificially,0.0000013056628365148981,Google Books Ngram Viewer,en,0,false
1816,artificially,0.0000012229232813076862,Google Books Ngram Viewer,en,0,false
1817,artificially,0.000001347524797523647,Google Books Ngram Viewer,en,0,false
1818,artificially,0.0000012199352212860504,Google Books Ngram Viewer,en,0,false
1819,artificially,0.0000018046600391841139,Google Books Ngram Viewer,en,0,false
1820,artificially,0.0000011171638027995812,Google Books Ngram Viewer,en,0,false
1821,artificially,0.0000013180715532357112,Google Books Ngram Viewer,en,0,false
1822,artificially,0.0000015846445036160617,Google Books Ngram Viewer,en,0,false
1823,artificially,0.0000013865118075884197,Google Books Ngram Viewer,en,0,false
1824,artificially,0.0000011495731655486452,Google Books Ngram Viewer,en,0,false
1825,artificially,0.0000012662026040999308,Google Books Ngram Viewer,en,0,false
1826,artificially,0.000001341461579595915,Google Books Ngram Viewer,en,0,false
1827,artificially,0.0000013929033340076558,Google Books Ngram Viewer,en,0,false
1828,artificially,0.0000014457317449867446,Google Books Ngram Viewer,en,0,false
1829,artificially,0.000001638278861459952,Google Books Ngram Viewer,en,0,false
1830,artificially,0.0000014629390721054847,Google Books Ngram Viewer,en,0,false
1831,artificially,0.0000012442874091078693,Google Books Ngram Viewer,en,0,false
1832,artificially,0.0000013874794131396584,Google Books Ngram Viewer,en,0,false
1833,artificially,0.0000015763443332872384,Google Books Ngram Viewer,en,0,false
1834,artificially,0.0000015359719447438636,Google Books Ngram Viewer,en,0,false
1835,artificially,0.0000015201089285099556,Google Books Ngram Viewer,en,0,false
1836,artificially,0.0000014341974798881552,Google Books Ngram Viewer,en,0,false
1837,artificially,0.0000016176430466252611,Google Books Ngram Viewer,en,0,false
1838,artificially,0.0000014326127075747763,Google Books Ngram Viewer,en,0,false
1839,artificially,0.0000017241799699085902,Google Books Ngram Viewer,en,0,false
1840,artificially,0.0000017593775614166418,Google Books Ngram Viewer,en,0,false
1841,artificially,0.0000016967054379257718,Google Books Ngram Viewer,en,0,false
1842,artificially,0.0000020508456701762157,Google Books Ngram Viewer,en,0,false
1843,artificially,0.0000018986791405772863,Google Books Ngram Viewer,en,0,false
1844,artificially,0.0000017368560456532123,Google Books Ngram Viewer,en,0,false
1845,artificially,0.0000018496401477108293,Google Books Ngram Viewer,en,0,false
1846,artificially,0.0000017477550677824638,Google Books Ngram Viewer,en,0,false
1847,artificially,0.0000017601895598851058,Google Books Ngram Viewer,en,0,false
1848,artificially,0.0000020633859647567476,Google Books Ngram Viewer,en,0,false
1849,artificially,0.000001803889519091939,Google Books Ngram Viewer,en,0,false
1850,artificially,0.0000019603909713339362,Google Books Ngram Viewer,en,0,false
1851,artificially,0.000002272996270313854,Google Books Ngram Viewer,en,0,false
1852,artificially,0.000002183756410367721,Google Books Ngram Viewer,en,0,false
1853,artificially,0.000001936695517512632,Google Books Ngram Viewer,en,0,false
1854,artificially,0.0000018701301711665508,Google Books Ngram Viewer,en,0,false
1855,artificially,0.0000020355441596731083,Google Books Ngram Viewer,en,0,false
1856,artificially,0.000001922113791685831,Google Books Ngram Viewer,en,0,false
1857,artificially,0.0000019800844641704174,Google Books Ngram Viewer,en,0,false
1858,artificially,0.000002154368624829317,Google Books Ngram Viewer,en,0,false
1859,artificially,0.0000018956456977470282,Google Books Ngram Viewer,en,0,false
1860,artificially,0.0000018980783925703903,Google Books Ngram Viewer,en,0,false
1861,artificially,0.000002307941190160534,Google Books Ngram Viewer,en,0,false
1862,artificially,0.000002181566730818929,Google Books Ngram Viewer,en,0,false
1863,artificially,0.000002214672434330822,Google Books Ngram Viewer,en,0,false
1864,artificially,0.0000020269499185765483,Google Books Ngram Viewer,en,0,false
1865,artificially,0.000002224625916369405,Google Books Ngram Viewer,en,0,false
1866,artificially,0.000002170105787513421,Google Books Ngram Viewer,en,0,false
1867,artificially,0.0000021646985182144363,Google Books Ngram Viewer,en,0,false
1868,artificially,0.000002235921785942452,Google Books Ngram Viewer,en,0,false
1869,artificially,0.000002299321703702617,Google Books Ngram Viewer,en,0,false
1870,artificially,0.0000021640342584561267,Google Books Ngram Viewer,en,0,false
1871,artificially,0.0000022424995822500904,Google Books Ngram Viewer,en,0,false
1872,artificially,0.000002233618882740984,Google Books Ngram Viewer,en,0,false
1873,artificially,0.0000023786837939354655,Google Books Ngram Viewer,en,0,false
1874,artificially,0.000002428931736631057,Google Books Ngram Viewer,en,0,false
1875,artificially,0.0000023776396353980545,Google Books Ngram Viewer,en,0,false
1876,artificially,0.0000023989012474245897,Google Books Ngram Viewer,en,0,false
1877,artificially,0.0000023509857822734403,Google Books Ngram Viewer,en,0,false
1878,artificially,0.0000024207543960486078,Google Books Ngram Viewer,en,0,false
1879,artificially,0.0000023816270324772404,Google Books Ngram Viewer,en,0,false
1880,artificially,0.0000027630151322455276,Google Books Ngram Viewer,en,0,false
1881,artificially,0.0000024170180603633185,Google Books Ngram Viewer,en,0,false
1882,artificially,0.000002518672379103748,Google Books Ngram Viewer,en,0,false
1883,artificially,0.000002661487678246033,Google Books Ngram Viewer,en,0,false
1884,artificially,0.000002700941799105294,Google Books Ngram Viewer,en,0,false
1885,artificially,0.000002634461947259581,Google Books Ngram Viewer,en,0,false
1886,artificially,0.0000025296977379518637,Google Books Ngram Viewer,en,0,false
1887,artificially,0.000002342345625017117,Google Books Ngram Viewer,en,0,false
1888,artificially,0.0000024863449681333805,Google Books Ngram Viewer,en,0,false
1889,artificially,0.0000023974895344558433,Google Books Ngram Viewer,en,0,false
1890,artificially,0.000002576851078295306,Google Books Ngram Viewer,en,0,false
1891,artificially,0.0000024411854111505704,Google Books Ngram Viewer,en,0,false
1892,artificially,0.000002545473209103477,Google Books Ngram Viewer,en,0,false
1893,artificially,0.000002552399631206015,Google Books Ngram Viewer,en,0,false
1894,artificially,0.0000025155455718461894,Google Books Ngram Viewer,en,0,false
1895,artificially,0.000002637940611283085,Google Books Ngram Viewer,en,0,false
1896,artificially,0.000002298318559468271,Google Books Ngram Viewer,en,0,false
1897,artificially,0.0000024341366966496025,Google Books Ngram Viewer,en,0,false
1898,artificially,0.000002616229480167931,Google Books Ngram Viewer,en,0,false
1899,artificially,0.0000023695870803308594,Google Books Ngram Viewer,en,0,false
1900,artificially,0.0000022958977403675362,Google Books Ngram Viewer,en,0,false
1901,artificially,0.0000023902832566591314,Google Books Ngram Viewer,en,0,false
1902,artificially,0.000002478447870046807,Google Books Ngram Viewer,en,0,false
1903,artificially,0.0000022700667727804102,Google Books Ngram Viewer,en,0,false
1904,artificially,0.0000024397144811061366,Google Books Ngram Viewer,en,0,false
1905,artificially,0.000002459504056417927,Google Books Ngram Viewer,en,0,false
1906,artificially,0.0000023941487876655287,Google Books Ngram Viewer,en,0,false
1907,artificially,0.000002513886354194028,Google Books Ngram Viewer,en,0,false
1908,artificially,0.0000025638867349186967,Google Books Ngram Viewer,en,0,false
1909,artificially,0.0000024579488169251817,Google Books Ngram Viewer,en,0,false
1910,artificially,0.000002966628311895647,Google Books Ngram Viewer,en,0,false
1911,artificially,0.0000029131114676061998,Google Books Ngram Viewer,en,0,false
1912,artificially,0.0000028449151763254577,Google Books Ngram Viewer,en,0,false
1913,artificially,0.000002730698049902003,Google Books Ngram Viewer,en,0,false
1914,artificially,0.000002545717526558633,Google Books Ngram Viewer,en,0,false
1915,artificially,0.0000023509110196329175,Google Books Ngram Viewer,en,0,false
1916,artificially,0.0000023337167176507023,Google Books Ngram Viewer,en,0,false
1917,artificially,0.0000023558869184370224,Google Books Ngram Viewer,en,0,false
1918,artificially,0.0000022289292518351544,Google Books Ngram Viewer,en,0,false
1919,artificially,0.000002229917619445132,Google Books Ngram Viewer,en,0,false
1920,artificially,0.0000023938732631734183,Google Books Ngram Viewer,en,0,false
1921,artificially,0.00000254597839521864,Google Books Ngram Viewer,en,0,false
1922,artificially,0.0000025248673161115676,Google Books Ngram Viewer,en,0,false
1923,artificially,0.000002745760030009592,Google Books Ngram Viewer,en,0,false
1924,artificially,0.0000026384387705746803,Google Books Ngram Viewer,en,0,false
1925,artificially,0.000002738144765146444,Google Books Ngram Viewer,en,0,false
1926,artificially,0.000002614493547881125,Google Books Ngram Viewer,en,0,false
1927,artificially,0.0000027329159681954707,Google Books Ngram Viewer,en,0,false
1928,artificially,0.0000025334238600294157,Google Books Ngram Viewer,en,0,false
1929,artificially,0.000002617742712374138,Google Books Ngram Viewer,en,0,false
1930,artificially,0.000002694923502133406,Google Books Ngram Viewer,en,0,false
1931,artificially,0.0000026934560111158135,Google Books Ngram Viewer,en,0,false
1932,artificially,0.0000028376353196080117,Google Books Ngram Viewer,en,0,false
1933,artificially,0.0000029686875713252903,Google Books Ngram Viewer,en,0,false
1934,artificially,0.000003026916651549527,Google Books Ngram Viewer,en,0,false
1935,artificially,0.000002808774215878884,Google Books Ngram Viewer,en,0,false
1936,artificially,0.000002527938375962435,Google Books Ngram Viewer,en,0,false
1937,artificially,0.000002974657192567065,Google Books Ngram Viewer,en,0,false
1938,artificially,0.000002822559862281082,Google Books Ngram Viewer,en,0,false
1939,artificially,0.0000028150632331858105,Google Books Ngram Viewer,en,0,false
1940,artificially,0.000002646775808301527,Google Books Ngram Viewer,en,0,false
1941,artificially,0.000002882980941976143,Google Books Ngram Viewer,en,0,false
1942,artificially,0.000002292882344434588,Google Books Ngram Viewer,en,0,false
1943,artificially,0.000002236534847099847,Google Books Ngram Viewer,en,0,false
1944,artificially,0.0000024048439613011396,Google Books Ngram Viewer,en,0,false
1945,artificially,0.000002318589519489933,Google Books Ngram Viewer,en,0,false
1946,artificially,0.000002410529248209059,Google Books Ngram Viewer,en,0,false
1947,artificially,0.0000024835002570000597,Google Books Ngram Viewer,en,0,false
1948,artificially,0.000002518701574416582,Google Books Ngram Viewer,en,0,false
1949,artificially,0.0000026660722873828036,Google Books Ngram Viewer,en,0,false
1950,artificially,0.0000026228413787521276,Google Books Ngram Viewer,en,0,false
1951,artificially,0.0000024859904463880866,Google Books Ngram Viewer,en,0,false
1952,artificially,0.000002447151381090862,Google Books Ngram Viewer,en,0,false
1953,artificially,0.0000024252082013731524,Google Books Ngram Viewer,en,0,false
1954,artificially,0.000002519442688253548,Google Books Ngram Viewer,en,0,false
1955,artificially,0.0000024818935742132453,Google Books Ngram Viewer,en,0,false
1956,artificially,0.000002439201605142216,Google Books Ngram Viewer,en,0,false
1957,artificially,0.000002483997636915092,Google Books Ngram Viewer,en,0,false
1958,artificially,0.000002686134791929362,Google Books Ngram Viewer,en,0,false
1959,artificially,0.0000025729675172669886,Google Books Ngram Viewer,en,0,false
1960,artificially,0.000002568213371745287,Google Books Ngram Viewer,en,0,false
1961,artificially,0.0000025319061336404047,Google Books Ngram Viewer,en,0,false
1962,artificially,0.000002559546164349058,Google Books Ngram Viewer,en,0,false
1963,artificially,0.0000027086622225169776,Google Books Ngram Viewer,en,0,false
