term,term_slug,corpus,quality,first_non_zero_year,max_year,max_frequency_per_million,avg_1800_1899,avg_1900_1949,avg_1950_1999,avg_2000_2022,above_0_1_per_million,above_1_per_million,above_5_per_million,ngram
data entry,data-entry,en-US,ok,1845,1986,4.22190137,0.00018971,0.00515339,1.24823152,1.0409237,1964,1976,,data entry (All)
data tabulation,data-tabulation,en-US,requires_manual_review,1832,1971,0.05278362,0.00001849,0.00114712,0.02491253,0.00753587,,,,data tabulation (All)
data processing,data-processing,en-US,ok,1800,1978,18.35980603,0.03361109,0.07811904,11.02001706,2.41406356,1800,1800,1958,data processing (All)
computer data,computer-data,en-US,requires_manual_review,1820,1986,0.87066153,0.00030704,0.00319892,0.41707511,0.22509614,1961,,,computer data (All)
digital data,digital-data,en-US,requires_manual_review,1832,1984,1.61831446,0.00290067,0.00530883,0.90626247,0.54072389,1954,1965,,digital data (All)
machine-readable data,machine-readable-data,en-US,requires_manual_review,1889,1988,0.42418205,0.00000863,0.00032638,0.09962016,0.01782226,1974,,,machine - readable data (All)
data storage,data-storage,en-US,ok,1832,1986,1.61832861,0.00021259,0.00388767,0.86532597,1.03378235,1956,1974,,data storage (All)
data retrieval,data-retrieval,en-US,ok,1817,1976,0.60477634,0.00020296,0.00150681,0.28277323,0.15820934,1962,,,data retrieval (All)
database,database,en-US,ok,1802,1993,58.52086539,0.00230821,0.0597892,13.85570008,37.4614996,1934,1964,1974,database (All)
data base,data-base,en-US,requires_manual_review,1800,1983,33.85974112,0.00399163,0.03208228,8.95350952,1.09949898,1820,1967,1973,data base (All)
data bank,data-bank,en-US,ok,1816,1974,3.23689172,0.0007963,0.00914806,1.20415449,0.46227149,1962,1969,,data bank (All)
dataset,dataset,en-US,ok,1851,2022,11.38539271,0.00007048,0.00196185,0.33901627,4.42954052,1962,1997,2017,dataset (All)
data set,data-set,en-US,requires_manual_review,1800,1811,29.00035361,0.82629115,0.07104859,2.45514069,6.14238394,1811,1811,1811,data set (All)
data management,data-management,en-US,ok,1832,1986,2.69579978,0.00020359,0.00314863,1.14958384,1.33318666,1962,1971,,data management (All)
data warehouse,data-warehouse,en-US,ok,1900,2010,1.31918227,0,0.00012132,0.08925311,0.81012015,1992,1997,,data warehouse (All)
metadata,metadata,en-US,ok,1833,2010,4.87957722,0.00014856,0.00173888,0.13318858,3.38963116,1982,1998,,metadata (All)
open data,open-data,en-US,ok,1901,2020,0.77450437,0,0.0001495,0.01954119,0.24041733,1999,,,open data (All)
user data,user-data,en-US,requires_manual_review,1879,2021,0.53994646,0.00001269,0.00028087,0.11417902,0.38055745,1976,,,user data (All)
search data,search-data,en-US,requires_manual_review,1843,1982,0.13920414,0.00002626,0.00419442,0.03890244,0.04510148,1982,,,search data (All)
clickstream data,clickstream-data,en-US,ok,1954,2002,0.05406061,0,0,0.00024937,0.01733979,,,,clickstream data (All)
log data,log-data,en-US,requires_manual_review,1855,1995,0.29987684,0.00007722,0.00927939,0.11500184,0.15393287,1970,,,log data (All)
personal data,personal-data,en-US,ok,1802,2008,16.65117885,0.00250437,0.09416847,0.45332556,1.84817447,1911,1967,2008,personal data (All)
data protection,data-protection,en-US,ok,1900,2020,2.04033777,0,0.00023961,0.11084879,0.86715747,1978,2016,,data protection (All)
data privacy,data-privacy,en-US,ok,1900,2021,1.09073749,0,0.00097836,0.01942082,0.28757434,1998,2021,,data privacy (All)
data breach,data-breach,en-US,ok,1901,2021,0.55250337,0,0.00004125,0.00026011,0.18652185,2008,,,data breach (All)
personal data breach,personal-data-breach,en-US,ok,2006,2017,0.02000622,0,0,0,0.00327844,,,,personal data breach
data rights,data-rights,en-US,ok,1912,1985,0.09801917,0,0.00045821,0.025009,0.02873156,,,,data rights (All)
data governance,data-governance,en-US,ok,1900,2022,0.72418228,0,0.00000492,0.00004095,0.1480574,2010,,,data governance (All)
data mining,data-mining,en-US,ok,1894,2008,3.16733912,0.00002065,0.00028099,0.07190803,2.21272634,1995,1999,,data mining (All)
big data,big-data,en-US,requires_manual_review,1900,2021,11.65336862,0,0.0004336,0.00422693,2.99720066,2011,2013,2017,big data (All)
data-driven,data-driven,en-US,requires_manual_review,1900,2022,2.65555478,0,0.00034259,0.06893439,0.89329963,1985,2016,,data - driven (All)
data science,data-science,en-US,ok,1800,2022,2.67164546,0.00030657,0.00015238,0.00641987,0.50900769,2013,2018,,data science (All)
data broker,data-broker,en-US,ok,1947,2015,0.05140771,0,0.00000272,0.00082438,0.02013777,,,,data broker (All)
data monetization,data-monetization,en-US,ok,2009,2021,0.02625533,0,0,0,0.00462744,,,,data monetization (All)
training data,training-data,en-US,ok,1817,2022,1.89853189,0.00019506,0.00314075,0.16108831,0.75349172,1971,2019,,training data (All)
labelled data,labelled-data,en-US,requires_manual_review,1913,2022,0.0661071,0,0.00001199,0.00061106,0.00793996,,,,labelled data (All)
labeled data,labeled-data,en-US,requires_manual_review,1912,2022,0.23826516,0,0.00004838,0.00312671,0.06388885,2019,,,labeled data (All)
synthetic data,synthetic-data,en-US,requires_manual_review,1839,2020,0.15867895,0.00007773,0.00055544,0.04398199,0.10685749,1991,,,synthetic data (All)
datafication,datafication,en-US,requires_manual_review,1961,2020,0.14201046,0,0,0.00045542,0.02345143,2020,,,datafication (All)
data,data,en-GB,ok,1800,2017,340.15924528,7.89622946,37.60975861,194.6931257,298.95356435,1800,1800,1815,data (All)
datum,datum,en-GB,ok,1800,1950,4.46752307,0.80643355,2.01661501,2.55923542,1.41761042,1800,1837,,datum (All)
statistical data,statistical-data,en-GB,ok,1800,1980,1.55726229,0.06027825,0.39019228,1.02514183,0.81623093,1839,1968,,statistical data (All)
empirical data,empirical-data,en-GB,ok,1817,2017,1.28468413,0.00489898,0.04198295,0.37231139,1.04490316,1948,2004,,empirical data (All)
observational data,observational-data,en-GB,ok,1826,2013,0.42530122,0.00206331,0.06997227,0.19703816,0.31124813,1928,,,observational data (All)
census data,census-data,en-GB,ok,1823,1995,1.38424871,0.00072426,0.02119893,0.49737576,0.68372964,1952,1995,,census data (All)
data collection,data-collection,en-GB,ok,1823,2021,8.03459835,0.00102152,0.006701,1.75154985,5.80180414,1959,1969,2005,data collection (All)
data entry,data-entry,en-GB,ok,1845,1982,0.93230718,0.00009502,0.00078736,0.33886984,0.5948291,1970,,,data entry (All)
data tabulation,data-tabulation,en-GB,requires_manual_review,1894,1966,0.01336002,0.00000596,0.0000954,0.00441329,0.00293446,,,,data tabulation (All)
data processing,data-processing,en-GB,ok,1826,1982,7.44335935,0.0016056,0.0353878,4.42228214,1.86765739,1931,1931,1961,data processing (All)
computer data,computer-data,en-GB,requires_manual_review,1843,2001,0.70725195,0.00009102,0.00046137,0.25117305,0.19325293,1966,,,computer data (All)
digital data,digital-data,en-GB,requires_manual_review,1811,1983,0.84948983,0.00041918,0.00247267,0.42055985,0.41388485,1957,,,digital data (All)
machine-readable data,machine-readable-data,en-GB,requires_manual_review,1961,1977,0.15427449,0,0,0.03351507,0.01263972,1977,,,machine - readable data (All)
data storage,data-storage,en-GB,ok,1826,1995,0.96479584,0.00022139,0.00389433,0.43210797,0.58732588,1960,,,data storage (All)
data retrieval,data-retrieval,en-GB,ok,1869,1982,0.53220775,0.00004617,0.00046252,0.14799913,0.08788703,1967,,,data retrieval (All)
database,database,en-GB,ok,1817,1996,44.34598029,0.00410785,0.04464077,8.7958926,25.03822999,1869,1901,1981,database (All)
data base,data-base,en-GB,requires_manual_review,1826,1987,6.27466858,0.0009401,0.0064635,2.16082278,0.69183449,1931,1972,1980,data base (All)
data bank,data-bank,en-GB,ok,1810,1977,1.74674114,0.00054169,0.00087482,0.61328071,0.27356461,1966,1972,,data bank (All)
dataset,dataset,en-GB,ok,1823,2022,8.05051432,0.00030461,0.00467718,0.22878816,3.987522,1901,1993,2015,dataset (All)
data set,data-set,en-GB,requires_manual_review,1826,2007,4.96465238,0.00259776,0.02051856,1.14256487,3.8684156,1967,1980,,data set (All)
data management,data-management,en-GB,ok,1826,2019,1.57611969,0.00021781,0.00317147,0.40572829,0.84832016,1934,1991,,data management (All)
data warehouse,data-warehouse,en-GB,ok,1843,1996,0.98085371,0.00094682,0.00294479,0.03617941,0.33607334,1901,,,data warehouse (All)
metadata,metadata,en-GB,ok,1810,2006,3.90662871,0.00014863,0.00188983,0.07225005,2.23019263,1992,2000,,metadata (All)
open data,open-data,en-GB,ok,1857,2020,0.88227138,0.00002506,0.00052689,0.00685894,0.25355608,2012,,,open data (All)
user data,user-data,en-GB,requires_manual_review,1869,2015,0.46048478,0.00000747,0.00068708,0.05859379,0.27464262,1986,,,user data (All)
search data,search-data,en-GB,requires_manual_review,1843,2021,0.09042044,0.00001169,0.00036853,0.00926662,0.02885576,,,,search data (All)
clickstream data,clickstream-data,en-GB,ok,1901,2021,0.04082415,0,0.00006714,0.00002071,0.00996155,,,,clickstream data (All)
log data,log-data,en-GB,requires_manual_review,1826,1998,0.18156594,0.00004291,0.00337557,0.04047523,0.06630293,1990,,,log data (All)
personal data,personal-data,en-GB,ok,1841,2020,8.22710778,0.00085295,0.0460515,0.46396607,3.13601402,1933,1983,2020,personal data (All)
data protection,data-protection,en-GB,ok,1843,2020,9.04384635,0.00047988,0.00483521,0.95905789,4.45575686,1931,1973,2007,data protection (All)
data privacy,data-privacy,en-GB,ok,1843,2022,1.31500393,0.00002338,0.00110809,0.01194574,0.2538195,2000,2022,,data privacy (All)
data breach,data-breach,en-GB,ok,1900,2020,0.48713777,0,0.00010749,0.00001046,0.10879974,2015,,,data breach (All)
personal data breach,personal-data-breach,en-GB,ok,2008,2020,0.15112873,0,0,0,0.02321396,2020,,,personal data breach (All)
data rights,data-rights,en-GB,ok,1852,2022,0.08668329,0.00000882,0.00002099,0.0005381,0.0136072,,,,data rights (All)
data governance,data-governance,en-GB,ok,1900,2022,0.69789266,0,0.00011456,0.00001046,0.09962567,2017,,,data governance (All)
data mining,data-mining,en-GB,ok,1843,2022,1.85981752,0.00002338,0.00016095,0.03321601,1.26368979,1995,2005,,data mining (All)
big data,big-data,en-GB,requires_manual_review,1825,2022,8.93575566,0.00031681,0.0021554,0.00209919,2.20238112,2011,2014,2017,big data (All)
data-driven,data-driven,en-GB,requires_manual_review,1843,2022,2.43294203,0.00006493,0.00177835,0.04224098,0.63450042,1988,2018,,data - driven (All)
data science,data-science,en-GB,ok,1858,2022,1.44263121,0.0000385,0.0008556,0.00338631,0.29181067,2015,2020,,data science (All)
data broker,data-broker,en-GB,ok,1991,2020,0.04002987,0,0,0.00016325,0.00857697,,,,data broker (All)
data monetization,data-monetization,en-GB,ok,1900,2022,0.01327914,0,0.0000105,0,0.00207078,,,,data monetization (All)
training data,training-data,en-GB,ok,1900,2022,1.10659516,0,0.00171249,0.07820364,0.51985404,1989,2022,,training data (All)
labelled data,labelled-data,en-GB,requires_manual_review,1901,2022,0.04094402,0,0.00005434,0.00127156,0.01069187,,,,labelled data (All)
labeled data,labeled-data,en-GB,requires_manual_review,1900,2022,0.10918405,0,0.00068065,0.0004266,0.02938028,2022,,,labeled data (All)
synthetic data,synthetic-data,en-GB,requires_manual_review,1839,2007,0.12883383,0.00004499,0.00092509,0.04201991,0.0574559,2000,,,synthetic data (All)
datafication,datafication,en-GB,requires_manual_review,1900,2022,0.38254563,0,0.00000971,0.00009049,0.05746958,2019,,,datafication (All)
