term_or_phrase,reason,needed_source_type,priority,notes
artificially flavored,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificially flavoured,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificially colored,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
artificially coloured,Consumer and ingredient phrases need non-book evidence before being used as packaging or market language.,packaging_language; regulatory_source; magazine_advertising,medium,Ngram status: collected.
no artificial ingredients,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
no artificial flavors,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
no artificial flavours,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
no artificial colors,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
no artificial colours,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
no artificial preservatives,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
nothing artificial,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
free from artificial,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
without artificial,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
contains no artificial,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
all natural,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
clean label,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
real ingredients,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
simple ingredients,"Absence claims are likely underrepresented in books and need advertising, labels, magazines, or packaging language.",newspaper_advertising; magazine_advertising; packaging_language,medium,Ngram status: collected.
