year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,genuine,0.00001985929192471758,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1877,genuine,0.000017594164205547713,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1878,genuine,0.000017569215458479448,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1879,genuine,0.0000174438161479884,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1880,genuine,0.000017987056708079763,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1881,genuine,0.000016542701530397608,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1882,genuine,0.000017352136239878746,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1883,genuine,0.000017478998472597596,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1884,genuine,0.000016582850093982415,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1885,genuine,0.000016419566861713975,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1886,genuine,0.000016985202250907605,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1887,genuine,0.000016931302411649085,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1888,genuine,0.000016135198507072346,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1889,genuine,0.00001624740491479315,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1890,genuine,0.000017535994061290694,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1891,genuine,0.00001734242493967031,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1892,genuine,0.000017613309523767384,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1893,genuine,0.00001647979740937444,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1894,genuine,0.000016628466937618214,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1895,genuine,0.00001634412529938345,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1896,genuine,0.00001631750262731657,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1897,genuine,0.000016694433156771993,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1898,genuine,0.000016031930272220052,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1899,genuine,0.00001644217138618842,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1900,genuine,0.000015793836723787535,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1901,genuine,0.000015238549337937002,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1902,genuine,0.000015693883142375853,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1903,genuine,0.000016010895137696934,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1904,genuine,0.000016386163565584866,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1905,genuine,0.000016019443705772574,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1906,genuine,0.00001598664039192954,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1907,genuine,0.000015194267234619474,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1908,genuine,0.000014731103874510154,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1909,genuine,0.00001532648013835569,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1910,genuine,0.000014761726731649105,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1911,genuine,0.000014046173703263776,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1912,genuine,0.00001368111509236769,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1913,genuine,0.000013424466374090116,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1914,genuine,0.000013175237711493537,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1915,genuine,0.000012904776895084069,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1916,genuine,0.00001371118713677788,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1917,genuine,0.000013524209066417825,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1918,genuine,0.00001279278222909852,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1919,genuine,0.000013683755980764545,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1920,genuine,0.00001401039907023005,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1921,genuine,0.000014287274439084285,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1922,genuine,0.000015457786162187404,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1923,genuine,0.000016371008655369224,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1924,genuine,0.000016407550788244407,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1925,genuine,0.00001643469863665814,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1926,genuine,0.00001674996985912003,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1927,genuine,0.000016415560139648733,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1928,genuine,0.000016276924270641757,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1929,genuine,0.00001634429088426259,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1930,genuine,0.00001585780569257622,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1931,genuine,0.000014688863529954688,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1932,genuine,0.000014269850737491652,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1933,genuine,0.00001422971683950891,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1934,genuine,0.000015231204315568903,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1935,genuine,0.000014664949389953108,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1936,genuine,0.000014603048612116254,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1937,genuine,0.000014715861880176817,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1938,genuine,0.000013986564511014876,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1939,genuine,0.000013523400411941111,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1940,genuine,0.000013249079870547575,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1941,genuine,0.000012868951330347045,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1942,genuine,0.000012228000514369342,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1943,genuine,0.000012709944826383435,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1944,genuine,0.000013024355780544283,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1945,genuine,0.000013319327990757301,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1946,genuine,0.000014482928463621647,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1947,genuine,0.000014166566529638658,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1948,genuine,0.00001426375581559114,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1949,genuine,0.000014370493772730697,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1950,genuine,0.000013938568372395821,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1951,genuine,0.000014272737303144822,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1952,genuine,0.00001394527021147951,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1953,genuine,0.000013532467846744112,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1954,genuine,0.000013815752595291997,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1955,genuine,0.000013855703400622588,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1956,genuine,0.000013079371228741365,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1957,genuine,0.000012105204348245024,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1958,genuine,0.000012553245028357196,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1959,genuine,0.000012178536394458206,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1960,genuine,0.000011962867404236022,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1961,genuine,0.000011794889360317029,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1962,genuine,0.000011635752798611065,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1963,genuine,0.000011611810748490825,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1964,genuine,0.000011113926518646622,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1965,genuine,0.000011000480327538753,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1966,genuine,0.000011911033851674802,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1967,genuine,0.000011277160382405782,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1968,genuine,0.000011775606623132262,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1969,genuine,0.000012314067532770423,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1970,genuine,0.000011486356299883482,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1971,genuine,0.000011184369924421844,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1972,genuine,0.000010518110812540726,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1973,genuine,0.000010406867801293629,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1974,genuine,0.000010382272904507772,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1975,genuine,0.000010068983471001047,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1976,genuine,0.00001005113981022987,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1977,genuine,0.000009886491483257487,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1978,genuine,0.000010109771025668124,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1979,genuine,0.000009596890848229123,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1980,genuine,0.000010272204434613741,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1981,genuine,0.000010387584922000315,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1982,genuine,0.00001038525364549514,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1983,genuine,0.000010410235091740105,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1984,genuine,0.000010899097134142721,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1985,genuine,0.000010653026947693434,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1986,genuine,0.000010834705960860447,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1987,genuine,0.000011008827286218548,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1988,genuine,0.00001131115472219335,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1989,genuine,0.000011954915521528164,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1990,genuine,0.000011120527773300637,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1991,genuine,0.00001102692418442075,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1992,genuine,0.00001108963796525586,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1993,genuine,0.000011109909479500857,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
1994,genuine,0.000011213192294690089,Google Books Ngram Viewer,en,0,false,authenticity_counterterm,counter-pressure around original/real/genuine status; broad but useful comparator
