id,term,year,period,source_name,source_type,source_url,evidence_kind,sense,confidence,short_summary,chart_01_usefulness,notes
ngram_artifice,artifice,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000006890097710154919.,supporting,Ngram visibility only.
ngram_artificer,artificer,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.0000015942881752550875.,supporting,Ngram visibility only.
ngram_artificiality,artificiality,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 3.5323567049161397e-7.,background,Ngram visibility only.
ngram_artful,artful,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000008562690883895385.,background,Ngram visibility only.
ngram_artless,artless,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.0000031949504535333517.,background,Ngram visibility only.
ngram_artisan,artisan,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000002988374102008695.,background,Ngram visibility only.
ngram_artifact,artifact,1808,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000004056219437539865.,background,Ngram visibility only.
ngram_artefact,artefact,1819,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000001150447031417201.,background,Ngram visibility only.
ngram_contrivance,contrivance,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000010951188267327439.,background,Ngram visibility only.
ngram_contrived,contrived,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000016459606016816508.,background,Ngram visibility only.
ngram_technical,technical,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.00013782177103431603.,background,Ngram visibility only.
ngram_mechanical,mechanical,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000060570448081609385.,background,Ngram visibility only.
ngram_made_by_art,made by art,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 2.0593667304780183e-7.,background,Ngram visibility only.
ngram_made_by_skill,made by skill,1810,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artifact%2Cartefact%2Ccontrivance%2Ccontrived%2Ctechnical%2Cmechanical%2Cmade+by+art%2Cmade+by+skill&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 1.219447920419725e-8.,background,Ngram visibility only.
ngram_human_skill,human skill,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=human+skill%2Cartificial+work%2Cartificial+method%2Cartificial+system%2Cartificial+memory%2Cartificial+day&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 4.371072118702912e-7.,background,Ngram visibility only.
ngram_artificial_work,artificial work,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=human+skill%2Cartificial+work%2Cartificial+method%2Cartificial+system%2Cartificial+memory%2Cartificial+day&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 4.5247290358929604e-8.,background,Ngram visibility only.
ngram_artificial_method,artificial method,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=human+skill%2Cartificial+work%2Cartificial+method%2Cartificial+system%2Cartificial+memory%2Cartificial+day&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 8.667363715630927e-8.,background,Ngram visibility only.
ngram_artificial_system,artificial system,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=human+skill%2Cartificial+work%2Cartificial+method%2Cartificial+system%2Cartificial+memory%2Cartificial+day&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 3.2673966732232884e-7.,background,Ngram visibility only.
ngram_artificial_memory,artificial memory,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=human+skill%2Cartificial+work%2Cartificial+method%2Cartificial+system%2Cartificial+memory%2Cartificial+day&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 1.8519766875613186e-7.,background,Ngram visibility only.
ngram_artificial_day,artificial day,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=human+skill%2Cartificial+work%2Cartificial+method%2Cartificial+system%2Cartificial+memory%2Cartificial+day&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 1.587876994335602e-7.,background,Ngram visibility only.
