term,term_slug,query_group,semantic_domain,narrative_role,status,first_nonzero_year,last_nonzero_year,peak_year,peak_value,peak_per_million,recent_year,recent_value,recent_per_million,nonzero_year_count,avg_1800_1849_per_million,avg_1850_1899_per_million,avg_1900_1949_per_million,avg_1950_1999_per_million,avg_2000_2020_per_million,first_above_0_01_per_million,first_above_0_1_per_million,first_above_1_per_million,returned_ngram,notes
artificial voice,artificial_voice,chart06_social_supplement,SOCIAL,performed voice / mediated voice bridge,collected,1801,2020,1944,1.7027577181583098e-8,0.017027577181583098,2020,1.132324864427936e-8,0.01132324864427936,204,0.002737522885043475,0.00434981011432356,0.004343796789207932,0.0051768285547204584,0.007614269988330338,1807,,,artificial voice (All),
artificial personality,artificial_personality,chart06_social_supplement,SOCIAL,modern social/AI persona bridge,collected,1832,2020,1929,5.503252353822319e-9,0.005503252353822319,2020,2.6898138300035512e-9,0.0026898138300035512,158,0.000024569206669156074,0.0007440010107995221,0.0026441412188937807,0.0015753307883864531,0.002587925214733854,,,,artificial personality (All),
artificial mind,artificial_mind,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognitive candidate,collected,1812,2020,1835,1.1708224612050344e-8,0.011708224612050344,2020,8.763587272531126e-9,0.008763587272531126,157,0.0009531706668397532,0.0006143960329385578,0.0002586227630663185,0.0009226058934885817,0.00444010210757742,1835,,,artificial mind (All),
artificial brain,artificial_brain,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix machine/body cognition candidate,collected,1823,2020,2020,3.119316471789091e-8,0.03119316471789091,2020,3.119316471789091e-8,0.03119316471789091,145,0.00019326820144272006,0.00033583904462952674,0.0004221340473009594,0.003871812522676654,0.01225519292049377,1998,,,artificial brain (All),
artificial thought,artificial_thought,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix cognition metaphor,collected,1802,2020,1802,7.996206363714009e-9,0.007996206363714009,2020,6.941455396591856e-10,0.0006941455396591856,155,0.0008086092551096158,0.00038088724729767875,0.0002600983646516841,0.0004100269631462927,0.0008270137574100957,,,,artificial thought (All),
artificial reason,artificial_reason,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix reasoning metaphor,collected,1800,2020,1814,2.6214971526883346e-8,0.026214971526883346,2020,8.242977987682476e-9,0.008242977987682476,212,0.005487877379195538,0.0025763007988066633,0.002157102400590638,0.0038502881292978852,0.007884635877563896,1807,,,artificial reason (All),
artificial logic,artificial_logic,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix logic/formal reasoning candidate,collected,1800,2020,1811,2.13405240145903e-8,0.0213405240145903,2020,1.6919797507508605e-9,0.0016919797507508605,208,0.004359360757932862,0.001820976094357718,0.0006354385664875117,0.0006035083538469266,0.001154257198584424,1808,,,artificial logic (All),
artificial consciousness,artificial_consciousness,chart06_cognitive_artificial,COGNITIVE,strict artificial-prefix consciousness candidate,collected,1859,2020,2018,1.729731094121667e-8,0.01729731094121667,2020,1.106294439390254e-8,0.01106294439390254,98,0,0.0001549452255389383,0.00010087147464532542,0.000767242119212308,0.00605181437287896,2018,,,artificial consciousness (All),
machine intelligence,machine_intelligence,chart06_cognitive_infrastructure,COGNITIVE,non-artificial cognitive infrastructure comparator,collected,1845,2020,2012,4.869922594907816e-7,0.4869922594907816,2020,2.748382291681284e-7,0.2748382291681284,102,0.000010069269862356123,0.00010041217801681768,0.00034353044534030097,0.11418541238580882,0.3250843766527493,1962,1980,,machine intelligence (All),
machine learning,machine_learning,chart06_cognitive_infrastructure,COGNITIVE,modern cognitive/AI infrastructure,collected,1826,2020,2020,0.000010673788817888719,10.673788817888719,2020,0.000010673788817888719,10.673788817888719,101,0.000023865802667444314,0.0001794540327448857,0.004893966491920088,0.14382832169923532,2.577920968920143,1900,1901,2003,machine learning (All),
neural network,neural_network,chart06_cognitive_infrastructure,COGNITIVE,modern cognitive/AI infrastructure,collected,1843,2020,2020,0.000006920761088657912,6.920761088657912,2020,0.000006920761088657912,6.920761088657912,115,0.000022997644899547254,0.00016479224013155047,0.001624260901889052,0.8706950432160743,3.334899038193272,1900,1986,1989,neural network (All),
expert system,expert_system,chart06_cognitive_infrastructure,COGNITIVE,symbolic AI infrastructure,collected,1804,2020,1989,0.000005620899405568702,5.620899405568702,2020,4.0052197426698743e-7,0.40052197426698743,155,0.00023256816028549565,0.0015478261403134574,0.004009021457584971,0.9898414192414245,0.5202146032879027,1908,1962,1985,expert system (All),
symbolic reasoning,symbolic_reasoning,chart06_cognitive_infrastructure,COGNITIVE,symbolic AI/cognitive process infrastructure,collected,1813,2020,2007,6.42323260136024e-8,0.0642323260136024,2020,1.6529340507442924e-8,0.016529340507442924,163,0.000612373082242712,0.0014037734907823562,0.0011664837062941302,0.009352182235092266,0.017213515760600942,1982,,,symbolic reasoning (All),
natural language processing,natural_language_processing,chart06_cognitive_infrastructure,COGNITIVE,language AI infrastructure,collected,1869,2020,2020,0.000001045518455134592,1.045518455134592,2020,0.000001045518455134592,1.045518455134592,82,0,0.0000076161793538531705,0.000919691786477328,0.0890068046064535,0.3918413921119513,1900,1983,2020,natural language processing (All),
computer vision,computer_vision,chart06_cognitive_infrastructure,COGNITIVE,perceptual AI infrastructure,collected,1843,2020,2020,0.0000028727645243753486,2.8727645243753486,2020,0.0000028727645243753486,2.8727645243753486,89,0.000022997644899547254,0.00004230359784695992,0.0013313698470074353,0.253684597007961,1.210792549355014,1900,1980,2003,computer vision (All),
