year,term,value,value_per_million,query_group,semantic_domain,narrative_role,source,corpus,smoothing,case_sensitive
1820,artificial politeness,1.357383538902468e-8,0.01357383538902468,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1821,artificial politeness,8.218254521352719e-9,0.00821825452135272,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1822,artificial politeness,8.432936127178436e-9,0.008432936127178436,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1823,artificial politeness,3.6279186321763746e-9,0.0036279186321763746,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1824,artificial politeness,8.905682413740124e-9,0.008905682413740124,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1825,artificial politeness,4.375811157864007e-9,0.004375811157864007,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1826,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1827,artificial politeness,9.112916643516655e-9,0.009112916643516655,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1828,artificial politeness,1.0623416812904907e-8,0.010623416812904907,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1829,artificial politeness,7.700935000798381e-9,0.007700935000798381,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1830,artificial politeness,5.437797767626762e-9,0.005437797767626762,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1831,artificial politeness,1.9685504781818963e-8,0.019685504781818963,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1832,artificial politeness,4.913841333831215e-9,0.004913841333831215,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1833,artificial politeness,4.8894870374738275e-9,0.0048894870374738275,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1834,artificial politeness,8.88786111374884e-9,0.00888786111374884,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1835,artificial politeness,5.122348323283177e-9,0.005122348323283177,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1836,artificial politeness,7.31722626934328e-10,0.000731722626934328,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1837,artificial politeness,4.622697780121143e-9,0.004622697780121143,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1838,artificial politeness,7.604867291455264e-10,0.0007604867291455264,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1839,artificial politeness,1.4333568776336847e-9,0.0014333568776336847,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1840,artificial politeness,8.646729554584454e-9,0.008646729554584454,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1841,artificial politeness,7.303042171002971e-9,0.007303042171002971,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1842,artificial politeness,1.9426658059984447e-9,0.0019426658059984447,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1843,artificial politeness,4.524931374039198e-9,0.004524931374039198,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1844,artificial politeness,5.7128790587057665e-9,0.0057128790587057665,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1845,artificial politeness,7.551951952677882e-9,0.007551951952677882,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1846,artificial politeness,9.129631273196992e-9,0.009129631273196992,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1847,artificial politeness,2.5221689181620377e-9,0.0025221689181620377,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1848,artificial politeness,7.650069022702155e-9,0.007650069022702155,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1849,artificial politeness,7.3865624727886825e-9,0.0073865624727886825,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1850,artificial politeness,1.1883257045042228e-8,0.011883257045042228,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1851,artificial politeness,8.102160720113716e-9,0.008102160720113716,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1852,artificial politeness,7.20006410048768e-9,0.00720006410048768,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1853,artificial politeness,2.385440733831956e-9,0.002385440733831956,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1854,artificial politeness,3.602039555516967e-9,0.003602039555516967,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1855,artificial politeness,1.2298032592283903e-9,0.0012298032592283903,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1856,artificial politeness,1.6495359522750164e-9,0.0016495359522750164,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1857,artificial politeness,1.271622251941551e-9,0.001271622251941551,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1858,artificial politeness,8.480134372490511e-10,0.0008480134372490511,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1859,artificial politeness,1.61884816662905e-9,0.00161884816662905,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1860,artificial politeness,3.0732751898909783e-9,0.0030732751898909783,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1861,artificial politeness,1.3522618580452672e-9,0.0013522618580452672,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1862,artificial politeness,2.392480880075709e-9,0.002392480880075709,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1863,artificial politeness,1.4133998416099303e-9,0.0014133998416099303,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1864,artificial politeness,8.439751675304308e-10,0.0008439751675304308,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1865,artificial politeness,1.7014419873007114e-9,0.0017014419873007114,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1866,artificial politeness,1.4976124784737976e-9,0.0014976124784737976,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1867,artificial politeness,1.7946971686555457e-9,0.0017946971686555457,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1868,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1869,artificial politeness,1.4131200654077247e-9,0.0014131200654077247,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1870,artificial politeness,1.533698501532399e-9,0.001533698501532399,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1871,artificial politeness,4.179455004305055e-9,0.004179455004305055,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1872,artificial politeness,2.2221129380994853e-9,0.0022221129380994853,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1873,artificial politeness,5.464946717381736e-9,0.005464946717381736,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1874,artificial politeness,1.2196235132932998e-9,0.0012196235132932998,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1875,artificial politeness,1.2348331246414546e-9,0.0012348331246414546,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1876,artificial politeness,8.559316588829802e-10,0.0008559316588829802,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1877,artificial politeness,5.919882362093176e-10,0.0005919882362093176,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1878,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1879,artificial politeness,1.0912446501976092e-9,0.0010912446501976092,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1880,artificial politeness,2.2520690312610725e-9,0.0022520690312610725,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1881,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1882,artificial politeness,7.162674897642773e-10,0.0007162674897642773,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1883,artificial politeness,9.521121668853993e-10,0.0009521121668853993,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1884,artificial politeness,4.3525569259905694e-10,0.00043525569259905694,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1885,artificial politeness,6.706072364082161e-10,0.0006706072364082161,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1886,artificial politeness,9.036598691558595e-10,0.0009036598691558595,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1887,artificial politeness,2.1404489292109474e-10,0.00021404489292109474,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1888,artificial politeness,1.985013403649205e-10,0.0001985013403649205,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1889,artificial politeness,1.3303275148146554e-9,0.0013303275148146554,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1890,artificial politeness,1.939662264138775e-9,0.001939662264138775,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1891,artificial politeness,5.664096691671006e-10,0.0005664096691671006,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1892,artificial politeness,1.2868882626193567e-9,0.0012868882626193567,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1893,artificial politeness,1.9075847151883707e-9,0.0019075847151883707,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1894,artificial politeness,1.219289086362707e-9,0.001219289086362707,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1895,artificial politeness,9.59125695532137e-10,0.000959125695532137,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1896,artificial politeness,1.594319246067677e-9,0.001594319246067677,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1897,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1898,artificial politeness,1.5022075250392675e-10,0.00015022075250392675,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1899,artificial politeness,2.5429783001573725e-9,0.0025429783001573725,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1900,artificial politeness,1.4954674165679194e-9,0.0014954674165679194,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1901,artificial politeness,1.2995564346862665e-10,0.00012995564346862665,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1902,artificial politeness,5.203999453584629e-10,0.0005203999453584629,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1903,artificial politeness,5.071074116180796e-10,0.0005071074116180796,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1904,artificial politeness,1.251865278106834e-10,0.0001251865278106834,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1905,artificial politeness,2.4219484751064613e-10,0.00024219484751064613,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1906,artificial politeness,4.6000536713108886e-10,0.00046000536713108886,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1907,artificial politeness,1.1820331380363314e-9,0.0011820331380363314,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1908,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1909,artificial politeness,5.561459626157728e-10,0.0005561459626157728,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1910,artificial politeness,2.692020453776145e-9,0.002692020453776145,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1911,artificial politeness,9.540971485089145e-11,0.00009540971485089145,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1912,artificial politeness,2.0068033346198888e-10,0.00020068033346198888,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1913,artificial politeness,3.9081829439346905e-10,0.00039081829439346905,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1914,artificial politeness,3.7894920534853327e-10,0.00037894920534853327,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1915,artificial politeness,6.974785748958823e-10,0.0006974785748958823,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1916,artificial politeness,9.899549929803797e-11,0.00009899549929803797,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1917,artificial politeness,9.905815057109635e-11,0.00009905815057109635,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1918,artificial politeness,2.1508370084966089e-10,0.00021508370084966089,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1919,artificial politeness,4.0117609234613383e-10,0.00040117609234613383,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1920,artificial politeness,1.916526937151275e-10,0.0001916526937151275,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1921,artificial politeness,4.777485351770139e-10,0.0004777485351770139,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1922,artificial politeness,2.839076196359258e-10,0.0002839076196359258,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1923,artificial politeness,9.926338639942855e-10,0.0009926338639942855,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1924,artificial politeness,1.324782367140287e-10,0.0001324782367140287,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1925,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1926,artificial politeness,3.691207894895854e-10,0.0003691207894895854,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1927,artificial politeness,2.5050025942441323e-10,0.00025050025942441323,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1928,artificial politeness,2.3663590531519674e-10,0.00023663590531519674,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1929,artificial politeness,5.732554431148174e-10,0.0005732554431148174,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1930,artificial politeness,2.3187936293300737e-10,0.00023187936293300737,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1931,artificial politeness,1.1149552114897432e-10,0.00011149552114897432,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1932,artificial politeness,1.2188766662646344e-10,0.00012188766662646344,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1933,artificial politeness,2.735673909626257e-10,0.0002735673909626257,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1934,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1935,artificial politeness,3.6947345183335756e-10,0.00036947345183335756,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1936,artificial politeness,5.120115442736051e-10,0.0005120115442736051,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1937,artificial politeness,3.4367284018621547e-10,0.00034367284018621547,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1938,artificial politeness,3.4387687142256596e-10,0.00034387687142256596,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1939,artificial politeness,2.204143118023083e-10,0.0002204143118023083,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1940,artificial politeness,7.885069819302259e-10,0.000788506981930226,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1941,artificial politeness,2.2639619345898865e-10,0.00022639619345898865,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1942,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1943,artificial politeness,0,0,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1944,artificial politeness,6.599836233078804e-10,0.0006599836233078804,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1945,artificial politeness,7.605433782753579e-10,0.0007605433782753579,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1946,artificial politeness,5.260763630277054e-10,0.0005260763630277054,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1947,artificial politeness,3.9421096942326983e-10,0.00039421096942326983,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1948,artificial politeness,9.416101925951992e-11,0.00009416101925951992,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1949,artificial politeness,3.503480561217742e-10,0.0003503480561217742,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1950,artificial politeness,2.5546328941139507e-10,0.00025546328941139507,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1951,artificial politeness,4.385181662236448e-10,0.0004385181662236448,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1952,artificial politeness,1.049390026264252e-9,0.001049390026264252,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1953,artificial politeness,4.961572264150504e-10,0.0004961572264150504,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1954,artificial politeness,3.440746021432517e-10,0.0003440746021432517,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1955,artificial politeness,1.6181349316024551e-10,0.00016181349316024551,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1956,artificial politeness,2.3444501895397707e-10,0.00023444501895397707,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1957,artificial politeness,3.743368948150305e-10,0.0003743368948150305,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1958,artificial politeness,3.811107263107516e-10,0.0003811107263107516,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1959,artificial politeness,7.021699888198896e-11,0.00007021699888198896,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1960,artificial politeness,6.612590475185698e-10,0.0006612590475185698,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1961,artificial politeness,6.945378716594064e-10,0.0006945378716594064,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1962,artificial politeness,3.1097457942053097e-10,0.00031097457942053097,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1963,artificial politeness,1.20621346244576e-10,0.00012062134624457599,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1964,artificial politeness,3.692346706163363e-10,0.0003692346706163363,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1965,artificial politeness,7.014544500805187e-11,0.00007014544500805187,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1966,artificial politeness,2.7296997995307493e-10,0.0002729699799530749,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1967,artificial politeness,3.0208877066506545e-10,0.00030208877066506545,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1968,artificial politeness,1.766709278872014e-10,0.0001766709278872014,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1969,artificial politeness,3.03348512975532e-10,0.000303348512975532,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1970,artificial politeness,2.9911431664864097e-10,0.00029911431664864097,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1971,artificial politeness,5.920714613028011e-10,0.0005920714613028011,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1972,artificial politeness,3.0082641239159713e-10,0.00030082641239159713,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1973,artificial politeness,1.7534478036207446e-10,0.00017534478036207446,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1974,artificial politeness,2.3690654993302473e-10,0.00023690654993302473,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1975,artificial politeness,2.3041193952799688e-10,0.00023041193952799688,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1976,artificial politeness,2.742606419747773e-10,0.0002742606419747773,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1977,artificial politeness,2.178127816998554e-10,0.0002178127816998554,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1978,artificial politeness,1.5810956710549107e-10,0.00015810956710549107,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1979,artificial politeness,3.501208489797847e-10,0.0003501208489797847,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1980,artificial politeness,5.3786610582085004e-11,0.000053786610582085004,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
1981,artificial politeness,6.92895834458751e-10,0.000692895834458751,chart06_social_supplement,SOCIAL,performed civility / social artificiality,Google Books Ngram Viewer,en,0,false
