term,term_slug,query_group,semantic_domain,narrative_role,status,first_nonzero_year,last_nonzero_year,peak_year,peak_value,peak_per_million,recent_year,recent_value,recent_per_million,nonzero_year_count,avg_1800_1849_per_million,avg_1850_1899_per_million,avg_1900_1949_per_million,avg_1950_1999_per_million,avg_2000_2020_per_million,first_above_0_01_per_million,first_above_0_1_per_million,first_above_1_per_million,returned_ngram,notes
artificial fiber,artificial_fiber,chart06_material,MATERIAL,American spelling; synthetic textile material,collected,1879,2020,1958,4.1617292723117316e-8,0.041617292723117316,2020,2.6464297697703643e-9,0.0026464297697703643,131,0,0.00013405538873412226,0.00899632297310382,0.013885554302137115,0.003543732347414225,1911,,,artificial fiber (All),
artificial resin,artificial_resin,chart06_material,MATERIAL,synthetic material and industrial polymer vocabulary,collected,1836,2020,1932,2.254921800393106e-7,0.2254921800393106,2020,9.110659865418924e-10,0.0009110659865418924,140,0.0001050656406320627,0.00014914801865772986,0.02834574541810131,0.008165553253003388,0.0017131504748201824,1916,1932,,artificial resin (All),
artificial respiration,artificial_respiration,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process,collected,1800,2020,1890,9.017490214535684e-7,0.9017490214535684,2020,9.305888526434103e-8,0.09305888526434103,216,0.11977299885002068,0.44846445453716743,0.46522360451412004,0.329191603466103,0.10217175844989558,1810,1811,,artificial respiration (All),
artificial limb,artificial_limb,chart06_biological,BIOLOGICAL,prosthetic body part,collected,1800,2020,1918,5.622288016815524e-7,0.5622288016815524,2020,3.375282536799418e-8,0.03375282536799418,217,0.009113374326297219,0.09579570951379068,0.17042330656288907,0.09337207973324213,0.03496940338604921,1801,1855,,artificial limb (All),
artificial insemination,artificial_insemination,chart06_biological,BIOLOGICAL,reproductive technology and postwar biological intervention,collected,1823,2020,1953,0.000001090718884655395,1.090718884655395,2020,2.3089014815347308e-7,0.23089014815347308,161,0.0012057501141971017,0.003700959663732739,0.2036275404089516,0.7447240279648271,0.32015352475218645,1823,1933,1948,artificial insemination (All),
artificial kidney,artificial_kidney,chart06_biological,BIOLOGICAL,organ replacement / medical machine,collected,1845,2020,1968,3.8543707137073113e-7,0.38543707137073113,2020,3.088947546359133e-8,0.03088947546359133,121,0.000060415619174136737,0.00014266922476746657,0.005843496871382747,0.16299460003019184,0.04359929990285915,1924,1950,,artificial kidney (All),
artificial heart,artificial_heart,chart06_biological,BIOLOGICAL,organ replacement frontier,collected,1800,2020,1986,3.7310356270497946e-7,0.37310356270497946,2020,9.488101637700197e-8,0.09488101637700197,166,0.0006543618924492733,0.0018521933414783476,0.004262507017627204,0.19319418504096242,0.11597873068902322,1845,1965,,artificial heart (All),
artificial organ,artificial_organ,chart06_biological,BIOLOGICAL,general organ-replacement phrase,collected,1801,2020,1984,1.7236363503148056e-8,0.017236363503148056,2020,6.290693771449085e-9,0.006290693771449085,196,0.002151772027225718,0.0023806158577777126,0.000552133243708619,0.0070324408787958426,0.008110771036442692,1814,,,artificial organ (All),
artificial language,artificial_language,chart06_cognitive,COGNITIVE,constructed symbolic/cognitive system,collected,1800,2020,1827,7.859890516215273e-8,0.07859890516215273,2020,4.234287500487488e-8,0.04234287500487488,221,0.03759975937600579,0.018698877358169774,0.02556893024044382,0.042562354188452334,0.05301606401076062,1800,,,artificial language (All),
artificial memory,artificial_memory,chart06_cognitive,COGNITIVE,memory metaphor / cognitive prosthesis phrase,collected,1800,2020,1813,1.8519766875613186e-7,0.18519766875613186,2020,1.609549930836618e-8,0.01609549930836618,221,0.06530906294766048,0.026169638007444984,0.003114815753657574,0.00528350465954508,0.014942863701531523,1800,1801,,artificial memory (All),
artificial intelligence,artificial_intelligence,chart06_cognitive,COGNITIVE,machine cognition anchor,collected,1802,2020,2020,0.000007802152498702364,7.802152498702364,2020,0.000007802152498702364,7.802152498702364,138,0.0002089638073687894,0.0013763250697462759,0.009965731839756131,1.4801891483524203,2.944441839859107,1869,1900,1977,artificial intelligence (All),
artificial reasoning,artificial_reasoning,chart06_cognitive,COGNITIVE,machine/cognitive-process phrase,collected,1800,2020,1821,7.396429424488815e-8,0.07396429424488815,2020,2.299356968715749e-9,0.002299356968715749,220,0.01187257409940301,0.005234431494360869,0.0023958695385961626,0.0010700310618116937,0.0018542970888927152,1802,,,artificial reasoning (All),
artificial neural network,artificial_neural_network,chart06_cognitive,COGNITIVE,late cognitive/AI technical phrase,collected,1900,2020,2020,7.941732090115117e-7,0.7941732090115117,2020,7.941732090115117e-7,0.7941732090115117,72,0,0,0.00007541528290744282,0.053901642541182015,0.35519410436551535,1987,1991,,artificial neural network (All),
artificial manner,artificial_manner,chart06_social,SOCIAL,social conduct and performed style,collected,1800,2020,1801,9.177208681876436e-8,0.09177208681876436,2020,7.63560059624524e-9,0.00763560059624524,221,0.046345529423064136,0.026052190393033303,0.012142274039284029,0.008184043382153394,0.007557849945255018,1800,,,artificial manner (All),
artificial behaviour,artificial_behaviour,chart06_social,SOCIAL,British spelling; social/moral artificiality,collected,1800,2020,1804,1.1682088629783038e-8,0.011682088629783038,2020,8.242977966865794e-10,0.0008242977966865794,147,0.0012240906877014623,0.0002070008583987537,0.00008113879790272449,0.0003022268790092708,0.0006690099231873713,1804,,,artificial behaviour (All),
artificial behavior,artificial_behavior,chart06_social,SOCIAL,American spelling; social/moral artificiality,collected,1804,2020,1986,6.145593922646242e-9,0.006145593922646242,2020,1.1279864126079175e-9,0.0011279864126079175,114,0.0002332214710243363,0.00010278712270217483,0.00015843564488138284,0.001149167481243052,0.001505803505364947,,,,artificial behavior (All),
artificial smile,artificial_smile,chart06_social,SOCIAL,performed emotion and authenticity pressure,collected,1806,2020,1833,1.7113205075247606e-8,0.017113205075247606,2020,1.3275532673162616e-8,0.013275532673162616,201,0.002839646108254712,0.003666233528987206,0.0020726164101647626,0.002357030162158935,0.009800603884002612,1831,,,artificial smile,
artificial dignity,artificial_dignity,chart06_social,SOCIAL,moral/social performance phrase,collected,1800,2020,1828,3.080790733633876e-8,0.030807907336338758,2020,1.7353637971062597e-10,0.00017353637971062597,207,0.004038316225862815,0.0025792576918703958,0.0008475854476608369,0.0003473896228317619,0.0003054646869443942,1804,,,artificial dignity,
artificial excitement,artificial_excitement,chart06_social,SOCIAL,performed affect and social artificiality,collected,1800,2020,1829,6.380774686398638e-8,0.06380774686398638,2020,2.8199661217254146e-9,0.0028199661217254146,213,0.026001735811131965,0.014307732854879074,0.0031851486158307463,0.0015104661686693444,0.0017764729842585315,1810,,,artificial excitement (All),
